cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.396078642E-03  1.975514460E-03  1.933136697E-03 -4.416522146E-03 
         2 -4.312221427E-03  1.975514460E-03  1.931426409E-03 -4.314333929E-03 
         3 -3.463938134E-03  1.994123682E-03  1.938766576E-03 -3.509147931E-03 
         4 -3.399755806E-03  1.993824262E-03  1.932905906E-03 -3.406640362E-03 
         5 -3.340329975E-03  1.999700675E-03  1.937228295E-03 -3.300266113E-03 
         6 -3.193130717E-03  1.988475677E-03  1.943163964E-03 -3.201366508E-03 
         7 -3.100986592E-03  1.966342097E-03  1.941788315E-03 -3.105180951E-03 
         8 -3.003173508E-03  1.952679246E-03  1.939727861E-03 -3.005310109E-03 
         9 -2.902822103E-03  1.948250690E-03  1.935561470E-03 -2.904892689E-03 
        10 -2.800535411E-03  1.945453929E-03  1.932500257E-03 -2.802616471E-03 
        11 -2.698213328E-03  1.942575793E-03  1.932111083E-03 -2.699786421E-03 
        12  6.478132564E-04  1.287420018E-04  1.145189721E-04  6.470180370E-04 
        13  6.367780734E-04  1.473419979E-04  1.589834018E-04  6.298936868E-04 
        14 -1.012067194E-03  1.347242360E-04  1.977556957E-04 -1.019009077E-03 
        15 -9.043796454E-04  1.390671096E-04  1.984103759E-04 -9.069970064E-04 
        16 -7.962408126E-04  1.383540657E-04  1.938604447E-04 -7.950795716E-04 
        17 -6.892761448E-04  1.327034261E-04  1.869981581E-04 -6.853314307E-04 
        18 -5.840959493E-04  1.229844929E-04  1.774708527E-04 -5.775250902E-04 
        19 -4.792883992E-04  1.113495600E-04  1.637269837E-04 -4.703043525E-04 
        20 -3.785697627E-04  1.018861949E-04  1.461014197E-04 -3.694341506E-04 
        21 -2.807043784E-04  9.876971308E-05  1.281231806E-04 -2.752816664E-04 
        22 -1.851343841E-04  9.927345673E-05  1.108253011E-04 -1.840752402E-04 
        23 -1.020592972E-04  8.600841829E-05  9.693807319E-05 -1.022720959E-04 
        24 -5.735583545E-05  6.781280536E-05  8.900635807E-05 -3.160334126E-05 
        25 -2.137032970E-05  3.850739813E-05  3.067821061E-05 -2.973995391E-05 
        26  3.922888936E-05  7.926913895E-06  3.393898202E-05  4.248468120E-05 
        27  7.224391447E-05  8.663513995E-07  2.794200578E-05  1.007808420E-04 
        28 -2.419250784E-03  6.313736230E-05  7.332680564E-05 -2.420594786E-03 
        29 -2.315787366E-03  6.505446800E-05  7.311501499E-05 -2.316820890E-03 
        30 -2.212592168E-03  6.697900244E-05  7.043852328E-05 -2.213196658E-03 
        31 -2.110396978E-03  6.950202078E-05  6.674919455E-05 -2.110809722E-03 
        32 -2.008959651E-03  7.431694394E-05  6.249115734E-05 -2.009269490E-03 
        33 -1.909992890E-03  8.170207730E-05  5.855735120E-05 -1.909155614E-03 
        34 -1.812116709E-03  9.100745956E-05  5.673498202E-05 -1.809930395E-03 
        35 -1.713165897E-03  9.782728739E-05  5.515330775E-05 -1.709579807E-03 
        36 -1.613270841E-03  1.009053958E-04  5.457516422E-05 -1.609092055E-03 
        37 -1.514795236E-03  1.048959675E-04  5.383556151E-05 -1.509067679E-03 
        38 -1.454851939E-03  1.084789255E-04  5.490773208E-05 -1.410009075E-03 
        39 -1.406449592E-03  1.114847400E-04  1.617335276E-04 -1.426165312E-03 
        40 -1.320262905E-03  1.160453321E-04  1.668645453E-04 -1.329549773E-03 
        41 -1.220092410E-03  1.212039788E-04  1.792718652E-04 -1.230890175E-03 
        42 -1.117748674E-03  1.275983377E-04  1.909506707E-04 -1.127491208E-03 
        43 -2.596530830E-03  1.939626411E-03  1.933004749E-03 -2.597631251E-03 
        44 -2.494822256E-03  1.936508226E-03  1.934575948E-03 -2.495273050E-03 
        45 -2.393105067E-03  1.932719490E-03  1.936099255E-03 -2.392953671E-03 
        46 -2.290161559E-03  1.929958933E-03  1.936053435E-03 -2.289587949E-03 
        47 -2.185848542E-03  1.930166502E-03  1.934468811E-03 -2.185353151E-03 
        48 -2.081522951E-03  1.931646257E-03  1.932282097E-03 -2.081243068E-03 
        49 -1.977607142E-03  1.932422514E-03  1.931099759E-03 -1.977459928E-03 
        50 -1.874063746E-03  1.931639737E-03  1.931720263E-03 -1.874312453E-03 
        51 -1.769916620E-03  1.928438316E-03  1.935050064E-03 -1.771475459E-03 
        52 -1.666029915E-03  1.917549293E-03  1.942464568E-03 -1.670585838E-03 
        53  1.152351731E-03  1.325356970E-05  3.101034304E-05  1.138412517E-03 
        54  1.215599710E-03  3.975293657E-05  2.564670187E-05  1.216729608E-03 
        55  1.251091482E-03  5.342617442E-05  7.597944778E-05  1.220415129E-03 
        56  1.289017149E-03  7.083918899E-05  8.382080802E-05  1.288576347E-03 
        57  1.348569640E-03  1.083745301E-04  9.483070975E-05  1.371086269E-03 
        58  1.380870584E-03  1.500174985E-04  1.534666538E-04  1.356754465E-03 
        59  1.389317564E-03  1.822804043E-04  1.783614129E-04  1.413342180E-03 
        60  1.389965182E-03  2.176152484E-04  2.200892427E-04  1.390224425E-03 
        61  1.383227413E-03  2.637613507E-04  2.637882890E-04  1.382428426E-03 
        62  1.362805953E-03  2.978121629E-04  3.084583673E-04  1.375232493E-03 
        63  1.323749428E-03  3.212933661E-04  3.077494111E-04  1.324666190E-03 
        64  1.284125494E-03  3.327733139E-04  3.053288046E-04  1.273832916E-03 
        65  1.255426207E-03  3.345067962E-04  3.585910721E-04  1.262547421E-03 
        66  1.106383628E-03  4.399097525E-04  4.487808969E-04  1.113537532E-03 
        67  1.081628841E-03  4.678808327E-04  4.473723462E-04  1.076870502E-03 
        68  1.060476759E-03  4.829212558E-04  5.027628162E-04  1.070988945E-03 
        69  1.030052663E-03  4.900168860E-04  4.989071341E-04  1.027946398E-03 
