cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.079478793E-03  1.973499311E-03  1.933075753E-03 -4.109019672E-03 
         2 -4.014604725E-03  1.973499311E-03  1.934369578E-03 -4.006508197E-03 
         3 -2.951199654E-03  1.996083651E-03  1.939727861E-03 -3.005310109E-03 
         4 -2.893571975E-03  1.993695972E-03  1.935561470E-03 -2.904892689E-03 
         5 -2.815882908E-03  1.997612417E-03  1.932500257E-03 -2.802616471E-03 
         6  7.073836168E-04  2.004363978E-06  2.376551705E-05  7.244123886E-04 
         7  6.673512398E-04  8.988600712E-06  2.274665324E-05  6.657491188E-04 
         8  6.039444124E-04  1.202959538E-05  2.138182500E-05  6.018984717E-04 
         9  2.100761281E-03  2.049754839E-04  2.034715338E-04  2.087885807E-03 
        10  2.105474006E-03  1.539251098E-04  1.538700609E-04  2.087042892E-03 
        11  2.115317155E-03  1.164276182E-04  9.321694742E-05  2.087244387E-03 
        12  2.158070914E-03  9.691884770E-05  8.927237462E-05  2.158173226E-03 
        13  2.213291358E-03  7.247385656E-05  8.900181543E-05  2.222977803E-03 
        14  2.250270685E-03  2.935715747E-05  3.033947023E-05  2.234936416E-03 
        15  2.192854416E-03  2.872699988E-04  2.718000809E-04  2.199040909E-03 
        16  2.218185458E-03  2.942683350E-04  3.121268945E-04  2.204077594E-03 
        17  2.234391635E-03  3.001276345E-04  3.314104695E-04  2.231470440E-03 
        18  2.261138288E-03  3.209611459E-04  3.128599891E-04  2.272489471E-03 
        19  2.374368021E-03  4.663742147E-04  4.358183084E-04  2.389704606E-03 
        20  2.377598779E-03  4.688556073E-04  4.612386868E-04  2.398496022E-03 
        21  2.397180535E-03  4.776958085E-04  4.938707706E-04  2.384454192E-03 
        22  2.430713037E-03  5.001235986E-04  4.916197099E-04  2.436088877E-03 
        23  2.448957879E-03  5.453714402E-04  5.479773461E-04  2.430106551E-03 
        24  2.435025293E-03  5.928570754E-04  5.961515552E-04  2.434790317E-03 
