cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.077652935E-03  1.974441111E-03  1.933075753E-03 -4.109019672E-03 
         2 -4.009287804E-03  1.974441344E-03  1.934369578E-03 -4.006508197E-03 
         3 -2.947540721E-03  1.997428481E-03  1.939727861E-03 -3.005310109E-03 
         4 -2.893269295E-03  1.995124156E-03  1.935561470E-03 -2.904892689E-03 
         5 -2.810902661E-03  1.997695770E-03  1.932500257E-03 -2.802616471E-03 
         6  7.063206285E-04  1.440756137E-06  2.376551705E-05  7.244123886E-04 
         7  6.674564793E-04  8.240771422E-06  2.274665324E-05  6.657491188E-04 
         8  6.040208391E-04  1.170799896E-05  2.138182500E-05  6.018984717E-04 
         9  2.133366885E-03  2.123887243E-04  2.135920546E-04  2.139078798E-03 
        10  2.135300776E-03  1.540256926E-04  1.532036498E-04  2.150871609E-03 
        11  2.160358941E-03  1.061090297E-04  8.927237462E-05  2.158173226E-03 
        12  2.215962624E-03  7.418126188E-05  8.900181543E-05  2.222977803E-03 
        13  2.255333355E-03  3.252747047E-05  3.033947023E-05  2.234936416E-03 
        14  2.269898541E-03  3.140356057E-06  2.543826441E-05  2.298809444E-03 
        15  2.203172538E-03  2.850894234E-04  2.718000809E-04  2.199040909E-03 
        16  2.233056119E-03  2.936148376E-04  2.744122654E-04  2.248537651E-03 
        17  2.262262860E-03  3.169595147E-04  3.128599891E-04  2.272489471E-03 
        18  2.377862111E-03  4.595953505E-04  4.358183084E-04  2.389704606E-03 
        19  2.387674525E-03  4.668379552E-04  4.612386868E-04  2.398496022E-03 
        20  2.404741244E-03  4.757643328E-04  4.938707706E-04  2.384454192E-03 
        21  2.434684662E-03  4.977667704E-04  4.916197099E-04  2.436088877E-03 
        22  2.456439659E-03  5.450281315E-04  5.479773461E-04  2.430106551E-03 
        23  2.439956181E-03  5.938590039E-04  5.961515552E-04  2.434790317E-03 
        24 -1.006723382E-03  7.791283861E-05  6.636507486E-05 -1.005326591E-03 
        25 -9.016795084E-04  7.455240848E-05  6.680606303E-05 -9.013910211E-04 
        26 -7.970020524E-04  7.177437510E-05  6.575810028E-05 -7.972552363E-04 
        27 -6.929905503E-04  6.868469063E-05  6.355081433E-05 -6.935649223E-04 
        28 -5.896288203E-04  6.609952106E-05  6.038485763E-05 -5.907983585E-04 
        29 -4.858875182E-04  6.503977056E-05  5.539476994E-05 -4.882335345E-04 
        30 -3.841863363E-04  6.836718239E-05  4.835427240E-05 -3.882786737E-04 
        31 -3.121977497E-04  7.859181642E-05  4.217445575E-05 -2.899144977E-04 
        32 -2.616240527E-04  8.770364366E-05  1.281231806E-04 -2.752816664E-04 
        33 -1.855118171E-04  9.794388461E-05  1.108253011E-04 -1.840752402E-04 
        34 -1.142779438E-04  1.164464484E-04  9.693807319E-05 -1.022720959E-04 
        35 -7.547835412E-05  1.308395149E-04  1.562393313E-04 -8.961924719E-05 
        36 -2.965000931E-05  1.513093739E-04  1.429506679E-04 -2.640014050E-05 
        37  3.797294539E-06  1.693509985E-04  1.926155920E-04 -1.566857720E-05 
        38  4.178549352E-05  1.848920510E-04  1.880186171E-04  3.887628747E-05 
        39  1.030836429E-04  2.861591202E-05  2.794200578E-05  1.007808420E-04 
        40  2.600646112E-04  1.331469393E-04  1.408289672E-04  2.717250439E-04 
