cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.062334541E-03  1.991554163E-03  1.933075753E-03 -4.109019672E-03 
         2 -4.006137606E-03  1.971788704E-03  1.934369578E-03 -4.006508197E-03 
         3 -3.941860050E-03  1.980234869E-03  1.936141286E-03 -3.904823046E-03 
         4 -2.846145071E-03  1.998984721E-03  1.935561470E-03 -2.904892689E-03 
         5 -2.802707721E-03  1.998984721E-03  1.932500257E-03 -2.802616471E-03 
         6  7.017456810E-04  4.457842806E-07  2.376551705E-05  7.244123886E-04 
         7  6.676363409E-04  6.952970125E-06  2.274665324E-05  6.657491188E-04 
         8  6.042190362E-04  1.094893105E-05  2.138182500E-05  6.018984717E-04 
         9  2.332675504E-03  6.211739674E-06  1.979816584E-05  2.360534697E-03 
        10  2.319028601E-03  3.008920430E-05  2.543826441E-05  2.298809444E-03 
        11  2.294549486E-03  5.863236584E-05  6.421325349E-05  2.312346827E-03 
        12  2.261189977E-03  9.841471910E-05  1.009002678E-04  2.269504929E-03 
        13  2.247622702E-03  1.607026643E-04  1.613601952E-04  2.254107036E-03 
        14  2.253113780E-03  2.063969296E-04  2.115928679E-04  2.268628249E-03 
        15  2.241782844E-03  2.383626852E-04  2.373658805E-04  2.247575958E-03 
        16  2.253953833E-03  2.694129653E-04  2.744122654E-04  2.248537651E-03 
        17  2.277757972E-03  2.815015905E-04  3.128599891E-04  2.272489471E-03 
        18  2.308174735E-03  3.052049724E-04  2.993758897E-04  2.318535620E-03 
        19  2.338286489E-03  3.442821617E-04  3.457278335E-04  2.348621878E-03 
        20  2.385954373E-03  4.451147979E-04  4.358183084E-04  2.389704606E-03 
        21  2.402761718E-03  4.526090052E-04  4.612386868E-04  2.398496022E-03 
        22  2.429366577E-03  4.586735158E-04  4.404200250E-04  2.432817981E-03 
        23  2.452269662E-03  4.652770294E-04  4.916197099E-04  2.436088877E-03 
        24  2.478190931E-03  4.700629215E-04  4.832002055E-04  2.479166716E-03 
        25  2.485476900E-03  6.199047784E-04  6.001120732E-04  2.481107966E-03 
        26  2.466144739E-03  6.259476650E-04  6.558729013E-04  2.480274928E-03 
        27  2.444793005E-03  6.336857914E-04  6.492226082E-04  2.446194591E-03 
        28 -1.006688690E-03  7.762948371E-05  6.636507486E-05 -1.005326591E-03 
        29 -9.016770637E-04  7.444227958E-05  6.680606303E-05 -9.013910211E-04 
        30 -7.970138104E-04  7.130323502E-05  6.575810028E-05 -7.972552363E-04 
        31 -6.930528325E-04  6.767334708E-05  6.355081433E-05 -6.935649223E-04 
        32 -5.897844676E-04  6.455859693E-05  6.038485763E-05 -5.907983585E-04 
        33 -4.862058267E-04  6.289158046E-05  5.539476994E-05 -4.882335345E-04 
        34 -3.846728359E-04  6.505844794E-05  4.835427240E-05 -3.882786737E-04 
        35 -3.054607660E-04  7.572254253E-05  4.217445575E-05 -2.899144977E-04 
        36 -2.549741475E-04  8.528910985E-05  1.281231806E-04 -2.752816664E-04 
        37 -1.864199585E-04  9.364651487E-05  1.108253011E-04 -1.840752402E-04 
        38 -1.101744201E-04  1.128284275E-04  9.693807319E-05 -1.022720959E-04 
        39 -7.125596312E-05  1.276868861E-04  1.562393313E-04 -8.961924719E-05 
        40 -2.745867823E-05  1.468913397E-04  1.429506679E-04 -2.640014050E-05 
        41  7.610462944E-06  1.651966595E-04  1.372427601E-04  2.941064111E-05 
        42  4.205375444E-05  1.812102128E-04  1.880186171E-04  3.887628747E-05 
        43  1.030837884E-04  2.861587200E-05  2.794200578E-05  1.007808420E-04 
        44  2.566603944E-04  1.260924473E-04  1.408289672E-04  2.717250439E-04 
        45  2.790899889E-04  9.340126417E-05  8.822211316E-05  2.654353734E-04 
        46  3.014742106E-04  6.498653238E-05  8.110587978E-05  3.211743461E-04 
        47  3.292093752E-04  4.156428986E-05  2.775908311E-05  3.200411847E-04 
        48  3.778764221E-04  1.588445230E-05  2.357188179E-05  3.768744278E-04 
        49  4.217699461E-04  3.253364639E-06  1.961275604E-05  4.300925550E-04 
        50  2.024849528E-04  2.887650589E-05  2.931386421E-05  2.067113238E-04 
        51  5.529685877E-04  4.441745205E-06  1.926840855E-05  5.412139952E-04 
        52 -2.103537321E-03  2.446057624E-05  6.674919455E-05 -2.110809722E-03 
        53 -2.008405048E-03  5.291163689E-05  6.249115734E-05 -2.009269490E-03 
        54 -1.908910228E-03  5.858691657E-05  5.855735120E-05 -1.909155614E-03 
        55 -1.810103771E-03  6.342920824E-05  5.673498202E-05 -1.809930395E-03 
        56 -1.710709883E-03  6.931838288E-05  5.515330775E-05 -1.709579807E-03 
        57 -1.610862906E-03  7.498558261E-05  5.457516422E-05 -1.609092055E-03 
        58 -1.512190560E-03  8.125423483E-05  5.383556151E-05 -1.509067679E-03 
        59 -1.415129285E-03  8.819779032E-05  5.490773208E-05 -1.410009075E-03 
        60 -1.316297916E-03  9.182444046E-05  5.715688499E-05 -1.310405891E-03 
        61 -1.214802731E-03  8.821844676E-05  6.005970237E-05 -1.209844188E-03 
        62 -1.111462130E-03  8.200177399E-05  6.361088174E-05 -1.108407631E-03 
        63 -2.341476968E-03  1.995409373E-03  1.936099255E-03 -2.392953671E-03 
        64 -2.286551986E-03  1.970520942E-03  1.936053435E-03 -2.289587949E-03 
