cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.482715391E-03  1.983191585E-03  1.936762355E-03 -4.517952941E-03 
         2 -4.414836410E-03  1.956527121E-03  1.933136697E-03 -4.416522146E-03 
         3 -4.345578607E-03  1.973335631E-03  1.931426409E-03 -4.314333929E-03 
         4 -3.574006492E-03  1.988160657E-03  1.941697752E-03 -3.607061421E-03 
         5 -3.503282554E-03  1.978576183E-03  1.938766576E-03 -3.509147931E-03 
         6 -3.414640436E-03  1.990415389E-03  1.932905906E-03 -3.406640362E-03 
         7 -3.281560726E-03  1.992166741E-03  1.937228295E-03 -3.300266113E-03 
         8 -3.199597355E-03  1.971731894E-03  1.943163964E-03 -3.201366508E-03 
         9 -3.102852730E-03  1.955442363E-03  1.941788315E-03 -3.105180951E-03 
        10 -3.003992839E-03  1.948646735E-03  1.939727861E-03 -3.005310109E-03 
        11 -2.903651912E-03  1.944185817E-03  1.935561470E-03 -2.904892689E-03 
        12 -2.801231109E-03  1.941491384E-03  1.932500257E-03 -2.802616471E-03 
        13 -2.698784228E-03  1.938711619E-03  1.932111083E-03 -2.699786421E-03 
        14  7.828257512E-04  8.286785305E-05  7.763222672E-05  7.663306953E-04 
        15  7.678405382E-04  4.074669414E-05  3.064314326E-05  7.819077585E-04 
        16  7.257033722E-04  1.586352846E-05  2.376551705E-05  7.244123886E-04 
        17  6.660401705E-04  1.757232167E-05  2.274665324E-05  6.657491188E-04 
        18  6.018085405E-04  2.051840784E-05  2.138182500E-05  6.018984717E-04 
        19  9.299458470E-04  3.148902906E-04  3.176052178E-04  9.186656323E-04 
        20  9.390821797E-04  2.616049605E-04  2.656776079E-04  9.297236691E-04 
        21  9.279435617E-04  2.301015775E-04  2.123709137E-04  9.442696789E-04 
        22  8.903624257E-04  2.304882801E-04  2.298849416E-04  8.922482768E-04 
        23  8.378705243E-04  2.531146456E-04  2.497850322E-04  8.349731612E-04 
        24  8.034460479E-04  2.739368647E-04  2.862962627E-04  8.265738764E-04 
        25  7.681899006E-04  2.871875768E-04  2.992637368E-04  7.692566921E-04 
        26  7.168006850E-04  2.940832637E-04  3.032862177E-04  7.150600087E-04 
        27  6.687943824E-04  3.001846489E-04  2.893744474E-04  6.680827608E-04 
        28  6.331598852E-04  3.150350240E-04  2.905322350E-04  6.209350592E-04 
        29  6.063228357E-04  3.283972619E-04  3.496382691E-04  6.233797427E-04 
        30  5.888814339E-04  3.299689561E-04  3.549482646E-04  5.750792825E-04 
        31  5.857794895E-04  3.178899642E-04  3.077622525E-04  5.581903462E-04 
        32  5.937123206E-04  2.905153960E-04  2.905322350E-04  6.209350592E-04 
        33  5.944948061E-04  2.634827397E-04  2.371218948E-04  6.186498850E-04 
        34  5.863895640E-04  2.378147765E-04  2.495200019E-04  5.755313845E-04 
        35  5.932110944E-04  2.143263700E-04  1.972502765E-04  5.942934095E-04 
        36  6.170245470E-04  1.983741386E-04  1.972736704E-04  6.158441061E-04 
        37  6.352976779E-04  1.862817444E-04  1.589834018E-04  6.298936868E-04 
        38  8.148527704E-04  4.110276932E-04  3.943128693E-04  8.082469379E-04 
        39  7.853005663E-04  4.368452355E-04  4.395637281E-04  7.912099289E-04 
        40  7.663763245E-04  4.610356991E-04  4.389912674E-04  7.534740577E-04 
        41  7.504189271E-04  4.926291876E-04  4.933995936E-04  7.402546233E-04 
        42  7.236477104E-04  5.444037379E-04  5.465311757E-04  7.329796500E-04 
        43  6.949449889E-04  5.872840993E-04  5.608851357E-04  6.883630481E-04 
        44  6.629563868E-04  6.365072913E-04  6.281775836E-04  6.427421625E-04 
        45  6.601102650E-04  6.802677526E-04  6.822575325E-04  6.410872359E-04 
        46  6.696257624E-04  7.058136398E-04  7.289133347E-04  6.536619550E-04 
        47 -1.013588160E-03  1.472909498E-04  1.977556957E-04 -1.019009077E-03 
        48 -9.046819177E-04  1.420416665E-04  1.984103759E-04 -9.069970064E-04 
        49 -8.055417566E-04  1.336316054E-04  1.938604447E-04 -7.950795716E-04 
