cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.290234763E-03  1.972078579E-03  1.931426409E-03 -4.314333929E-03 
         2 -4.218147602E-03  1.972078579E-03  1.931636683E-03 -4.211520295E-03 
         3 -3.279472468E-03  1.990835415E-03  1.937228295E-03 -3.300266113E-03 
         4 -3.196962643E-03  1.986367628E-03  1.943163964E-03 -3.201366508E-03 
         5 -3.112473525E-03  1.995532075E-03  1.941788315E-03 -3.105180951E-03 
         6 -2.791976789E-03  1.985771582E-03  1.932500257E-03 -2.802616471E-03 
         7 -2.695527859E-03  1.960244961E-03  1.932111083E-03 -2.699786421E-03 
         8 -1.007472398E-03  8.673233242E-05  6.636507486E-05 -1.005326591E-03 
         9 -9.023304447E-04  9.294848860E-05  6.680606303E-05 -9.013910211E-04 
        10 -7.964449469E-04  1.051925428E-04  6.575810028E-05 -7.972552363E-04 
        11 -7.018458564E-04  1.187706075E-04  6.355081433E-05 -6.935649223E-04 
        12 -6.487822975E-04  1.253427617E-04  1.869981581E-04 -6.853314307E-04 
        13 -5.836359924E-04  1.255007373E-04  1.774708527E-04 -5.775250902E-04 
        14 -4.770499654E-04  1.227608300E-04  1.637269837E-04 -4.703043525E-04 
        15 -3.748387389E-04  1.185015935E-04  1.461014197E-04 -3.694341506E-04 
        16 -2.764364763E-04  1.175347352E-04  1.281231806E-04 -2.752816664E-04 
        17 -1.872394932E-04  1.289532520E-04  1.108253011E-04 -1.840752402E-04 
        18 -1.384072821E-04  1.403221540E-04  1.824621522E-04 -1.631405136E-04 
        19 -9.293108451E-05  1.469916169E-04  1.562393313E-04 -8.961924719E-05 
        20 -3.856232070E-05  1.616135123E-04  1.429506679E-04 -2.640014050E-05 
        21 -6.250300430E-06  1.745705667E-04  1.926155920E-04 -1.566857720E-05 
        22  4.093949610E-05  1.918935741E-04  1.880186171E-04  3.887628747E-05 
        23  7.631057815E-05  2.062649000E-04  2.417783347E-04  4.495860527E-05 
        24  8.642324246E-05  2.105787426E-04  2.489255570E-04  9.405898740E-05 
        25  2.965643944E-05  1.241775026E-04  1.372427601E-04  2.941064111E-05 
        26  1.892146429E-06  1.123339534E-04  1.429506679E-04 -2.640014050E-05 
        27  1.792951821E-06  1.088387216E-04  8.900635807E-05 -3.160334126E-05 
        28  1.056166820E-05  8.411291492E-05  8.707509544E-05  3.682231778E-05 
        29  4.866173549E-05  5.002133184E-05  3.393898202E-05  4.248468120E-05 
        30  8.662192704E-05  1.905810677E-05  2.794200578E-05  1.007808420E-04 
        31  2.190288506E-04  1.677517685E-05  2.931386421E-05  2.067113238E-04 
        32  2.607103088E-04  2.762332952E-05  3.429371706E-05  2.597225743E-04 
        33  3.209130082E-04  1.622885975E-05  2.775908311E-05  3.200411847E-04 
        34  3.781009291E-04  7.201006156E-06  2.357188179E-05  3.768744278E-04 
        35  4.322940076E-04  5.887126918E-06  1.961275604E-05  4.300925550E-04 
        36  4.667770991E-04  4.066827387E-06  1.937761130E-05  4.826194126E-04 
        37 -2.418077784E-03  5.538501864E-05  7.332680564E-05 -2.420594786E-03 
        38 -2.315404359E-03  6.150377158E-05  7.311501499E-05 -2.316820890E-03 
        39 -2.212490188E-03  6.539983588E-05  7.043852328E-05 -2.213196658E-03 
        40 -2.110367175E-03  6.874819519E-05  6.674919455E-05 -2.110809722E-03 
