cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.159678239E-03  1.997469459E-03  1.931636683E-03 -4.211520295E-03 
         2 -4.107867833E-03  1.971682068E-03  1.933075753E-03 -4.109019672E-03 
         3 -4.038114566E-03  1.974212471E-03  1.934369578E-03 -4.006508197E-03 
         4 -3.057496855E-03  1.992648235E-03  1.941788315E-03 -3.105180951E-03 
         5 -2.997042146E-03  1.982853515E-03  1.939727861E-03 -3.005310109E-03 
         6 -2.897420200E-03  1.990205143E-03  1.935561470E-03 -2.904892689E-03 
         7  7.072951412E-04  1.747886472E-06  2.376551705E-05  7.244123886E-04 
         8  6.673071766E-04  9.148507161E-06  2.274665324E-05  6.657491188E-04 
         9  6.036389386E-04  1.318553768E-05  2.138182500E-05  6.018984717E-04 
        10  1.812121598E-03  2.313224541E-04  2.266481103E-04  1.821234054E-03 
        11  1.834320487E-03  2.503405849E-04  2.643540103E-04  1.814250299E-03 
        12  1.852380810E-03  2.524069278E-04  2.686372979E-04  1.857296296E-03 
        13  1.875443268E-03  2.340132341E-04  2.249752392E-04  1.868745874E-03 
        14  1.896861359E-03  2.087964676E-04  2.222971841E-04  1.908134756E-03 
        15  1.904465258E-03  1.905100944E-04  1.791314573E-04  1.927048608E-03 
        16  1.750130905E-03  3.545293293E-04  3.637452039E-04  1.739624176E-03 
        17  1.792312949E-03  3.658417554E-04  3.588932654E-04  1.791440332E-03 
        18  1.840274665E-03  3.739302047E-04  3.604014303E-04  1.844721248E-03 
        19  1.863594283E-03  3.865925537E-04  4.077900278E-04  1.844233139E-03 
        20  1.871209708E-03  3.863792517E-04  4.024554091E-04  1.894545513E-03 
        21  1.888715196E-03  3.670390288E-04  3.592208367E-04  1.886748682E-03 
        22  1.916290727E-03  3.419927380E-04  3.541963571E-04  1.920648751E-03 
        23  1.958061010E-03  8.337993495E-05  8.091219465E-05  1.957743481E-03 
        24  2.017786959E-03  8.996167890E-05  9.041714092E-05  2.019015436E-03 
        25  2.087858273E-03  9.598980978E-05  9.321694742E-05  2.087244387E-03 
        26  2.155576833E-03  7.607991574E-05  8.927237462E-05  2.158173226E-03 
        27  2.191647887E-03  4.688457921E-05  2.897047908E-05  2.166466837E-03 
        28  2.209650818E-03  1.770209565E-05  3.033947023E-05  2.234936416E-03 
        29  2.181350254E-03  3.646367404E-04  3.638377693E-04  2.182290079E-03 
        30  2.192557324E-03  3.787341120E-04  3.762111544E-04  2.194016332E-03 
        31  2.364621498E-03  5.027516745E-04  4.938707706E-04  2.384454192E-03 
        32  2.371342853E-03  5.412859609E-04  5.404856117E-04  2.375240042E-03 
        33 -1.006757491E-03  7.843857020E-05  6.636507486E-05 -1.005326591E-03 
        34 -9.017389966E-04  7.625262515E-05  6.680606303E-05 -9.013910211E-04 
        35 -7.969653816E-04  7.448722317E-05  6.575810028E-05 -7.972552363E-04 
        36 -6.927969516E-04  7.204330905E-05  6.355081433E-05 -6.935649223E-04 
        37 -5.892293993E-04  7.010602712E-05  6.038485763E-05 -5.907983585E-04 
        38 -4.850692931E-04  7.053424633E-05  5.539476994E-05 -4.882335345E-04 
        39 -3.827421751E-04  7.830267714E-05  4.835427240E-05 -3.882786737E-04 
        40 -3.275380004E-04  8.712398994E-05  4.217445575E-05 -2.899144977E-04 
        41 -2.768678823E-04  9.394623339E-05  1.281231806E-04 -2.752816664E-04 
        42 -1.823701896E-04  1.129465454E-04  1.108253011E-04 -1.840752402E-04 
        43 -1.274142851E-04  1.301234443E-04  9.693807319E-05 -1.022720959E-04 
        44 -8.938582323E-05  1.411035919E-04  1.562393313E-04 -8.961924719E-05 
        45 -3.958039088E-05  1.598086092E-04  1.429506679E-04 -2.640014050E-05 
        46 -6.635698810E-06  1.764452754E-04  1.926155920E-04 -1.566857720E-05 
        47  4.169455860E-05  1.935935725E-04  1.880186171E-04  3.887628747E-05 
        48  7.686899335E-05  2.057125239E-04  2.417783347E-04  4.495860527E-05 
        49  8.166093176E-05  2.069127513E-04  2.489255570E-04  9.405898740E-05 
        50  1.031455540E-04  2.861025314E-05  2.794200578E-05  1.007808420E-04 
        51  2.426248975E-04  1.783271873E-04  1.930118503E-04  2.622026838E-04 
        52  2.662662009E-04  1.401078916E-04  1.408289672E-04  2.717250439E-04 
        53  2.879445092E-04  1.001844139E-04  8.822211316E-05  2.654353734E-04 
        54  3.093541018E-04  7.198537787E-05  8.110587978E-05  3.211743461E-04 
        55  3.365733428E-04  4.423032442E-05  2.775908311E-05  3.200411847E-04 
        56  3.777429520E-04  2.172208769E-05  2.357188179E-05  3.768744278E-04 
        57  4.323464236E-04  5.205599791E-06  1.961275604E-05  4.300925550E-04 
        58  2.023884590E-04  2.884947207E-05  2.931386421E-05  2.067113238E-04 
        59  4.971837625E-04  5.127800478E-07  1.937761130E-05  4.826194126E-04 
        60  5.441799876E-04  6.297696928E-06  1.926840855E-05  5.412139952E-04 
        61 -2.274605678E-03  7.835235010E-06  7.311501499E-05 -2.316820890E-03 
        62 -2.210412873E-03  3.488324001E-05  7.043852328E-05 -2.213196658E-03 
        63 -2.109945519E-03  5.768907067E-05  6.674919455E-05 -2.110809722E-03 
        64 -2.008707495E-03  6.454483082E-05  6.249115734E-05 -2.009269490E-03 
        65 -1.909583108E-03  7.231241034E-05  5.855735120E-05 -1.909155614E-03 
        66 -1.811592956E-03  8.365362737E-05  5.673498202E-05 -1.809930395E-03 
        67 -1.712903497E-03  9.456992848E-05  5.515330775E-05 -1.709579807E-03 
        68 -1.613295986E-03  1.011976638E-04  5.457516422E-05 -1.609092055E-03 
        69 -1.514927717E-03  1.061285366E-04  5.383556151E-05 -1.509067679E-03 
        70 -1.418174128E-03  1.095252956E-04  5.490773208E-05 -1.410009075E-03 
        71 -1.318458468E-03  1.053452579E-04  5.715688499E-05 -1.310405891E-03 
        72 -1.215629745E-03  9.334458446E-05  6.005970237E-05 -1.209844188E-03 
        73 -1.111643505E-03  8.322027134E-05  6.361088174E-05 -1.108407631E-03 
        74 -2.470739419E-03  1.979369903E-03  1.934575948E-03 -2.495273050E-03 
        75 -2.390936716E-03  1.952835009E-03  1.936099255E-03 -2.392953671E-03 
        76 -2.288902877E-03  1.945883268E-03  1.936053435E-03 -2.289587949E-03 
        77 -2.185332822E-03  1.944100717E-03  1.934468811E-03 -2.185353151E-03 
        78 -2.081587911E-03  1.942390110E-03  1.932282097E-03 -2.081243068E-03 
        79 -1.977972221E-03  1.940354588E-03  1.931099759E-03 -1.977459928E-03 
        80 -1.874571317E-03  1.937979017E-03  1.931720263E-03 -1.874312453E-03 
        81 -1.770738279E-03  1.935278066E-03  1.935050064E-03 -1.771475459E-03 
        82 -1.667661360E-03  1.929795137E-03  1.942464568E-03 -1.670585838E-03 
        83  2.087163739E-03  1.230657101E-03  1.208836716E-03  2.101796188E-03 
        84  2.069163369E-03  1.232353738E-03  1.204625515E-03  2.054019604E-03 
        85  2.049039351E-03  1.254377537E-03  1.249420116E-03  2.035379048E-03 
        86  2.018533414E-03  1.287584659E-03  1.299073048E-03  2.020257754E-03 
        87  1.986430027E-03  1.311182161E-03  1.295998047E-03  1.986192029E-03 
        88  1.966427779E-03  1.323724515E-03  1.293450380E-03  1.947334496E-03 
        89  1.943713054E-03  1.338651520E-03  1.345086805E-03  1.947925945E-03 
        90  1.917785848E-03  1.355603104E-03  1.335760989E-03  1.891637732E-03 
        91  1.892455271E-03  1.378072542E-03  1.377934128E-03  1.894362010E-03 
        92  1.854571397E-03  1.412547193E-03  1.393045398E-03  1.847366747E-03 
        93  1.825969666E-03  1.432703808E-03  1.408633721E-03  1.805100119E-03 
        94  1.799731166E-03  1.447349554E-03  1.458946259E-03  1.808596001E-03 
        95  1.771310810E-03  1.473411219E-03  1.466399391E-03  1.762134212E-03 
        96  1.752280048E-03  1.496787416E-03  1.517480735E-03  1.770494178E-03 
        97  1.725578564E-03  1.517108642E-03  1.524655038E-03  1.727520347E-03 
        98  2.029135590E-03  1.311400207E-03  1.299073048E-03  2.020257754E-03 
        99  2.024746733E-03  1.358256675E-03  1.357473860E-03  2.022891454E-03 
       100  2.026243601E-03  1.398568274E-03  1.418216501E-03  2.044577436E-03 
       101  2.021180466E-03  1.438264037E-03  1.444602383E-03  2.025979133E-03 
       102  1.844583312E-03  1.590861240E-03  1.615014651E-03  1.856528149E-03 
       103  1.803521765E-03  1.641315874E-03  1.641236910E-03  1.805098654E-03 
