cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.277955275E-03  1.976912608E-03  1.931426409E-03 -4.314333929E-03 
         2 -4.210474901E-03  1.956216991E-03  1.931636683E-03 -4.211520295E-03 
         3 -4.148246255E-03  1.979304478E-03  1.933075753E-03 -4.109019672E-03 
         4 -3.263680032E-03  1.989369281E-03  1.937228295E-03 -3.300266113E-03 
         5 -3.197898623E-03  1.979422523E-03  1.943163964E-03 -3.201366508E-03 
         6 -3.096812638E-03  1.988206524E-03  1.941788315E-03 -3.105180951E-03 
         7 -3.036314854E-03  1.998153515E-03  1.939727861E-03 -3.005310109E-03 
         8 -2.744828584E-03  1.998705789E-03  1.932500257E-03 -2.802616471E-03 
         9 -2.692849142E-03  1.977955690E-03  1.932111083E-03 -2.699786421E-03 
        10  7.049595006E-04  1.299193627E-06  2.376551705E-05  7.244123886E-04 
        11  6.973365089E-04  1.299193627E-06  2.274665324E-05  6.657491188E-04 
        12 -1.007150393E-03  8.287604578E-05  6.636507486E-05 -1.005326591E-03 
        13 -9.020345751E-04  8.456608339E-05  6.680606303E-05 -9.013910211E-04 
        14 -7.966762641E-04  9.054758266E-05  6.575810028E-05 -7.972552363E-04 
        15 -6.910642842E-04  1.003497309E-04  6.355081433E-05 -6.935649223E-04 
        16 -6.014214014E-04  1.121287205E-04  6.038485763E-05 -5.907983585E-04 
        17 -5.478800158E-04  1.184970752E-04  1.774708527E-04 -5.775250902E-04 
        18 -4.777937429E-04  1.184224893E-04  1.637269837E-04 -4.703043525E-04 
        19 -3.750123433E-04  1.176925944E-04  1.461014197E-04 -3.694341506E-04 
        20 -2.760018397E-04  1.194531505E-04  1.281231806E-04 -2.752816664E-04 
        21 -1.912174775E-04  1.316993876E-04  1.108253011E-04 -1.840752402E-04 
        22 -1.419574692E-04  1.433688449E-04  1.824621522E-04 -1.631405136E-04 
        23 -9.129824321E-05  1.533041213E-04  1.562393313E-04 -8.961924719E-05 
        24 -4.589857053E-05  1.669989870E-04  1.429506679E-04 -2.640014050E-05 
        25 -1.393416005E-05  1.788429363E-04  1.926155920E-04 -1.566857720E-05 
        26  3.929908780E-05  1.956902852E-04  1.880186171E-04  3.887628747E-05 
        27  7.397825539E-05  2.078098187E-04  2.417783347E-04  4.495860527E-05 
        28  8.394282486E-05  2.101509599E-04  2.489255570E-04  9.405898740E-05 
        29  5.442335168E-05  8.473017078E-05  8.707509544E-05  3.682231778E-05 
        30  6.068179573E-05  4.622429697E-05  3.393898202E-05  4.248468120E-05 
        31  9.261891682E-05  4.125427222E-05  2.794200578E-05  1.007808420E-04 
        32  2.132628142E-04  2.805284203E-05  2.931386421E-05  2.067113238E-04 
        33 -2.416638657E-03  4.595169958E-05  7.332680564E-05 -2.420594786E-03 
        34 -2.315042075E-03  5.840580343E-05  7.311501499E-05 -2.316820890E-03 
        35 -2.212473657E-03  6.526717334E-05  7.043852328E-05 -2.213196658E-03 
        36 -2.110402798E-03  6.984820357E-05  6.674919455E-05 -2.110809722E-03 
        37 -2.009008313E-03  7.630175969E-05  6.249115734E-05 -2.009269490E-03 
        38 -1.910108258E-03  8.433098265E-05  5.855735120E-05 -1.909155614E-03 
        39 -1.812176430E-03  9.195988969E-05  5.673498202E-05 -1.809930395E-03 
        40 -1.712919679E-03  9.516689897E-05  5.515330775E-05 -1.709579807E-03 
        41 -1.612708322E-03  9.481791494E-05  5.457516422E-05 -1.609092055E-03 
        42 -1.513822819E-03  9.630931163E-05  5.383556151E-05 -1.509067679E-03 
        43 -1.416787039E-03  9.982890333E-05  5.490773208E-05 -1.410009075E-03 
        44 -1.317565562E-03  9.974464774E-05  5.715688499E-05 -1.310405891E-03 
        45 -1.215543482E-03  9.284922999E-05  6.005970237E-05 -1.209844188E-03 
        46 -1.111961901E-03  8.560030983E-05  6.361088174E-05 -1.108407631E-03 
        47 -2.594943857E-03  1.951225335E-03  1.933004749E-03 -2.597631251E-03 
        48 -2.494105371E-03  1.942490693E-03  1.934575948E-03 -2.495273050E-03 
        49 -2.392464550E-03  1.938719419E-03  1.936099255E-03 -2.392953671E-03 
        50 -2.289750380E-03  1.934968517E-03  1.936053435E-03 -2.289587949E-03 
        51 -2.185717691E-03  1.933271880E-03  1.934468811E-03 -2.185353151E-03 
        52 -2.081517829E-03  1.932917628E-03  1.932282097E-03 -2.081243068E-03 
        53 -1.977609238E-03  1.932585728E-03  1.931099759E-03 -1.977459928E-03 
        54 -1.874075271E-03  1.931731240E-03  1.931720263E-03 -1.874312453E-03 
        55 -1.770142117E-03  1.930124592E-03  1.935050064E-03 -1.771475459E-03 
        56 -1.666944707E-03  1.924452721E-03  1.942464568E-03 -1.670585838E-03 
        57  1.780515769E-03  5.816241610E-04  5.817275729E-04  1.779799089E-03 
        58  1.787714311E-03  6.845507887E-04  6.819925287E-04  1.778043097E-03 
        59  1.780434512E-03  7.231571362E-04  7.085871580E-04  1.746346835E-03 
        60  1.766977133E-03  7.438212051E-04  7.577633237E-04  1.771446690E-03 
        61  1.673306455E-03  9.364343714E-04  9.395028403E-04  1.666028110E-03 
        62  1.655835076E-03  9.786487790E-04  9.976504064E-04  1.677227205E-03 
        63  1.619185205E-03  1.005234197E-03  1.015203291E-03  1.627495710E-03 
        64  2.035834827E-03  1.073480817E-03  1.060044540E-03  2.041719667E-03 
        65  2.091988688E-03  1.066404744E-03  1.056325348E-03  2.090236478E-03 
        66  1.894659596E-03  1.118577900E-03  1.142688225E-03  1.901953851E-03 
        67  1.854015165E-03  1.126555610E-03  1.135436859E-03  1.854396240E-03 
        68  1.810939866E-03  1.144515118E-03  1.133180284E-03  1.804534020E-03 
        69  1.790210372E-03  1.155871083E-03  1.180921936E-03  1.805802796E-03 
        70  1.760667888E-03  1.188404509E-03  1.176984304E-03  1.755862220E-03 
        71  1.738280058E-03  1.217274112E-03  1.186746764E-03  1.710694094E-03 
        72  1.728602219E-03  1.246432308E-03  1.249664952E-03  1.719713153E-03 
        73  1.710771117E-03  1.288891071E-03  1.307938579E-03  1.731419644E-03 
        74  1.688398770E-03  1.319772680E-03  1.325694933E-03  1.692892936E-03 
        75  1.648566686E-03  1.337937661E-03  1.343450136E-03  1.648054619E-03 
        76  2.100586193E-03  1.217460493E-03  1.208836716E-03  2.101796188E-03 
        77  2.060035942E-03  1.226257416E-03  1.204625515E-03  2.054019604E-03 
        78  2.029585419E-03  1.234902069E-03  1.249420116E-03  2.035379048E-03 
        79  1.991235185E-03  1.244201907E-03  1.242138010E-03  1.990493966E-03 
        80  1.947125536E-03  1.250127098E-03  1.238812449E-03  1.946950086E-03 
        81  1.916645095E-03  1.255829819E-03  1.235292432E-03  1.903811847E-03 
        82  1.884697471E-03  1.281431410E-03  1.286512580E-03  1.897934296E-03 
        83  1.861609868E-03  1.304592239E-03  1.271711828E-03  1.859776726E-03 
        84  1.860641292E-03  1.306110993E-03  1.287939208E-03  1.826712861E-03 
        85  1.850400935E-03  1.336777816E-03  1.339235290E-03  1.838872927E-03 
        86  1.834245748E-03  1.382292481E-03  1.393045398E-03  1.847366747E-03 
        87  1.813419047E-03  1.418186701E-03  1.408633721E-03  1.805100119E-03 
        88  1.791287563E-03  1.445814501E-03  1.458946259E-03  1.808596001E-03 
        89  1.762830769E-03  1.467512455E-03  1.466399391E-03  1.762134212E-03 
        90  1.718345564E-03  1.494280412E-03  1.480189413E-03  1.708152833E-03 
        91  1.882951939E-03  1.272557529E-05  2.101065743E-05  1.906211827E-03 
        92  1.599069568E-03  1.344112934E-05  2.709459480E-05  1.626272040E-03 
        93  1.589658787E-03  1.344112934E-05  2.940408889E-05  1.547688228E-03 
        94  1.744325156E-03  1.585358114E-04  1.573980741E-04  1.742838923E-03 
        95  1.616589841E-03  3.155413433E-04  2.984369316E-04  1.598202244E-03 
        96  1.617853297E-03  3.301168908E-04  3.373191825E-04  1.621605414E-03 
        97  1.624035649E-03  4.354456032E-04  4.409151578E-04  1.619891975E-03 
        98  1.658754074E-03  4.424943181E-04  4.365416312E-04  1.672054282E-03 
        99 -2.517301589E-03  3.375530287E-05  7.110491468E-05 -2.524064784E-03 
       100 -2.619138220E-03  3.061994357E-05  6.600393607E-05 -2.626677037E-03 
       101 -2.722260775E-03  3.463283429E-05  5.825507198E-05 -2.727486420E-03 
       102 -2.823682968E-03  3.710267993E-05  4.912679422E-05 -2.825656849E-03 
       103 -2.921287669E-03  3.714962440E-05  4.152960011E-05 -2.921255581E-03 
       104 -3.016727977E-03  2.847719770E-05  4.077177812E-05 -3.017093035E-03 
       105 -3.100560745E-03  9.813182260E-06  4.724476742E-05 -3.112842704E-03 
       106 -3.321113996E-03  5.404122476E-06  6.199954715E-05 -3.311930414E-03 
       107 -3.382161260E-03  5.404122476E-06  6.462525821E-05 -3.415662322E-03 
       108 -4.559553228E-03  2.242825030E-05  5.596906824E-05 -4.526306414E-03 
       109 -4.616769962E-03  2.242825030E-05  5.666467444E-05 -4.629023667E-03 
       110  1.392285689E-03  1.663684845E-03  1.634375832E-03  1.387002411E-03 
       111  1.517969649E-03  1.273813890E-03  1.269417146E-03  1.501712701E-03 
       112  1.544885570E-03  1.310527674E-03  1.310434929E-03  1.546587867E-03 
       113  1.598381205E-03  1.329480554E-03  1.337127498E-03  1.594421472E-03 
       114  1.453876495E-03  9.503251058E-04  9.667038466E-04  1.430334281E-03 
       115  1.478692633E-03  9.502853500E-04  9.395184962E-04  1.476996371E-03 
       116  1.505914843E-03  9.522964247E-04  9.478590638E-04  1.531222474E-03 
       117  1.184253721E-03  1.766440691E-03  1.748211226E-03  1.154960487E-03 
       118  1.215839642E-03  1.786191831E-03  1.783827280E-03  1.217834789E-03 
       119  1.264506951E-03  1.781258499E-03  1.805745326E-03  1.280817148E-03 
       120  1.389523735E-03  1.789297210E-03  1.810099402E-03  1.382461143E-03 
       121  1.410006196E-03  1.786981476E-03  1.813666166E-03  1.410868630E-03 
       122  1.434116857E-03  1.763835200E-03  1.766326056E-03  1.433835196E-03 
       123  1.471019001E-03  1.725757960E-03  1.731962175E-03  1.472705342E-03 
       124  1.518121106E-03  1.710674493E-03  1.713070001E-03  1.519707382E-03 
       125  1.549312263E-03  1.719539985E-03  1.712561603E-03  1.569663486E-03 
       126  1.412827871E-03  1.665368211E-03  1.686055091E-03  1.413624910E-03 
       127  1.450589974E-03  1.657983870E-03  1.660659986E-03  1.451366918E-03 
       128  1.503436710E-03  1.632711501E-03  1.638747362E-03  1.507103921E-03 
       129  1.657871646E-03  1.833312563E-03  1.831441411E-03  1.658316801E-03 
       130  1.704020426E-03  1.816502307E-03  1.823944263E-03  1.705748553E-03 
       131  1.748448587E-03  1.797472709E-03  1.806662425E-03  1.750959794E-03 
       132  1.777619356E-03  1.791510265E-03  1.775305427E-03  1.776653791E-03 
       133  1.817321638E-03  1.777538913E-03  1.788546473E-03  1.813100957E-03 
       134  1.848756103E-03  1.764330897E-03  1.741734315E-03  1.824391549E-03 
