cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.183376674E-03  1.972537255E-03  1.931636683E-03 -4.211520295E-03 
         2 -4.113087896E-03  1.972537255E-03  1.933075753E-03 -4.109019672E-03 
         3 -3.155285027E-03  1.993461978E-03  1.943163964E-03 -3.201366508E-03 
         4 -3.098484827E-03  1.980000874E-03  1.941788315E-03 -3.105180951E-03 
         5 -2.997313393E-03  1.980996225E-03  1.939727861E-03 -3.005310109E-03 
         6 -2.929872368E-03  1.994457329E-03  1.935561470E-03 -2.904892689E-03 
         7  8.951775380E-04  4.904437446E-06  4.903805260E-05  9.098509854E-04 
         8  8.752722642E-04  4.904437446E-06  4.542955042E-05  8.444747100E-04 
         9  7.219850086E-04  6.233109161E-06  2.376551705E-05  7.244123886E-04 
        10  6.665296387E-04  1.477258047E-05  2.274665324E-05  6.657491188E-04 
        11  6.031029043E-04  1.537955723E-05  2.138182500E-05  6.018984717E-04 
        12  1.834756928E-03  2.285689843E-04  2.266481103E-04  1.821234054E-03 
        13  1.808820060E-03  2.550181234E-04  2.643540103E-04  1.814250299E-03 
        14  1.958717126E-03  7.359596930E-05  8.091219465E-05  1.957743481E-03 
        15  2.019266598E-03  7.936729526E-05  9.041714092E-05  2.019015436E-03 
        16  2.080413746E-03  7.625539001E-05  9.321694742E-05  2.087244387E-03 
        17  2.122558188E-03  3.983103670E-05  2.900919835E-05  2.095151697E-03 
        18  2.139238175E-03  1.060937484E-05  2.897047908E-05  2.166466837E-03 
        19  1.716305851E-03  4.379228340E-04  4.491513420E-04  1.726133603E-03 
        20  1.749676769E-03  4.327791685E-04  4.118375167E-04  1.737779301E-03 
        21  1.775179291E-03  4.362095206E-04  4.138385057E-04  1.791122403E-03 
        22  1.804539817E-03  4.454505688E-04  4.654353708E-04  1.801073935E-03 
        23  1.842122874E-03  4.593137419E-04  4.511102458E-04  1.849586075E-03 
        24  1.870351029E-03  4.835122963E-04  4.878464729E-04  1.860332154E-03 
        25  1.965549076E-03  4.952306044E-04  4.823417090E-04  1.960243117E-03 
        26  2.004898619E-03  4.824681964E-04  4.871746654E-04  2.003087250E-03 
        27  2.051018411E-03  4.881956265E-04  4.757994699E-04  2.056123709E-03 
        28  2.081018873E-03  4.974593176E-04  5.317888978E-04  2.069617593E-03 
        29  2.112635411E-03  5.204015761E-04  5.117122199E-04  2.116709311E-03 
        30  2.151276916E-03  5.605469341E-04  5.597965202E-04  2.145519742E-03 
        31  2.171785571E-03  5.855752388E-04  5.730438063E-04  2.187308682E-03 
        32  2.183582867E-03  6.137664313E-04  6.143043677E-04  2.186697619E-03 
        33  2.196082380E-03  6.630805437E-04  6.611140407E-04  2.190203111E-03 
        34 -1.006909995E-03  8.014527702E-05  6.636507486E-05 -1.005326591E-03 
        35 -9.018341079E-04  7.853707939E-05  6.680606303E-05 -9.013910211E-04 
        36 -7.969320286E-04  7.723666204E-05  6.575810028E-05 -7.972552363E-04 
        37 -6.925623165E-04  7.592315524E-05  6.355081433E-05 -6.935649223E-04 
        38 -5.885377177E-04  7.677008398E-05  6.038485763E-05 -5.907983585E-04 
        39 -4.832306295E-04  8.268396778E-05  5.539476994E-05 -4.882335345E-04 
        40 -4.106772540E-04  9.297445649E-05  4.835427240E-05 -3.882786737E-04 
        41 -3.602753568E-04  1.003397410E-04  1.461014197E-04 -3.694341506E-04 
        42 -2.788071288E-04  1.071413717E-04  1.281231806E-04 -2.752816664E-04 
        43 -1.884305675E-04  1.260837016E-04  1.108253011E-04 -1.840752402E-04 
        44 -1.384952338E-04  1.414687722E-04  1.824621522E-04 -1.631405136E-04 
        45 -9.134737047E-05  1.540572557E-04  1.562393313E-04 -8.961924719E-05 
        46 -4.811983308E-05  1.688819320E-04  1.429506679E-04 -2.640014050E-05 
        47 -1.622484342E-05  1.806908695E-04  1.926155920E-04 -1.566857720E-05 
        48  3.983474380E-05  1.971910096E-04  1.880186171E-04  3.887628747E-05 
        49  7.435910811E-05  2.072608331E-04  2.417783347E-04  4.495860527E-05 
        50  8.379463543E-05  2.095114323E-04  2.489255570E-04  9.405898740E-05 
        51  1.035423993E-04  2.857732761E-05  2.794200578E-05  1.007808420E-04 
        52  2.624140179E-04  1.387942903E-04  1.408289672E-04  2.717250439E-04 
        53  2.861862886E-04  9.880154539E-05  8.822211316E-05  2.654353734E-04 
        54  3.090225509E-04  7.035853923E-05  8.110587978E-05  3.211743461E-04 
        55  3.363188298E-04  4.444413207E-05  2.775908311E-05  3.200411847E-04 
        56  3.777291568E-04  2.268649223E-05  2.357188179E-05  3.768744278E-04 
        57  4.332686949E-04  7.046858173E-06  1.961275604E-05  4.300925550E-04 
        58  4.878585169E-04  3.109698582E-06  1.937761130E-05  4.826194126E-04 
