cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.272744991E-03  1.981856301E-03  1.931426409E-03 -4.314333929E-03 
         2 -4.210358951E-03  1.955853542E-03  1.931636683E-03 -4.211520295E-03 
         3 -4.143563565E-03  1.973997336E-03  1.933075753E-03 -4.109019672E-03 
         4 -3.259207355E-03  1.989900833E-03  1.937228295E-03 -3.300266113E-03 
         5 -3.198107705E-03  1.978644868E-03  1.943163964E-03 -3.201366508E-03 
         6 -3.097570967E-03  1.984094037E-03  1.941788315E-03 -3.105180951E-03 
         7 -3.027936211E-03  1.995350234E-03  1.939727861E-03 -3.005310109E-03 
         8 -2.680766629E-03  1.982356887E-03  1.932111083E-03 -2.699786421E-03 
         9  6.428420893E-04  4.488387731E-06  2.274665324E-05  6.657491188E-04 
        10  6.177583127E-04  4.488387731E-06  2.138182500E-05  6.018984717E-04 
        11  1.811192604E-03  5.432771868E-04  5.138274224E-04  1.819273723E-03 
        12  1.789422240E-03  5.509274197E-04  5.352986275E-04  1.787036873E-03 
        13 -1.007103361E-03  8.226845966E-05  6.636507486E-05 -1.005326591E-03 
        14 -9.019745630E-04  8.271716069E-05  6.680606303E-05 -9.013910211E-04 
        15 -7.967469282E-04  8.662765322E-05  6.575810028E-05 -7.972552363E-04 
        16 -6.914578262E-04  9.382879944E-05  6.355081433E-05 -6.935649223E-04 
        17 -5.855231429E-04  1.062441806E-04  6.038485763E-05 -5.907983585E-04 
        18 -5.298662581E-04  1.146448631E-04  5.539476994E-05 -4.882335345E-04 
        19 -4.762806930E-04  1.151192992E-04  1.637269837E-04 -4.703043525E-04 
        20 -3.754974750E-04  1.155136779E-04  1.461014197E-04 -3.694341506E-04 
        21 -2.762722725E-04  1.182668639E-04  1.281231806E-04 -2.752816664E-04 
        22 -1.907259575E-04  1.311387023E-04  1.108253011E-04 -1.840752402E-04 
        23 -1.414611179E-04  1.430046250E-04  1.824621522E-04 -1.631405136E-04 
        24 -9.146592492E-05  1.526718406E-04  1.562393313E-04 -8.961924719E-05 
        25 -4.539194924E-05  1.665037271E-04  1.429506679E-04 -2.640014050E-05 
        26 -1.335984325E-05  1.786810317E-04  1.926155920E-04 -1.566857720E-05 
        27  4.416376760E-05  1.945302065E-04  1.880186171E-04  3.887628747E-05 
        28  2.069618204E-04  2.240036847E-04  2.543585031E-04  2.013657630E-04 
        29  2.255424915E-04  2.172774402E-04  2.459371493E-04  2.552620506E-04 
        30  2.462618868E-04  1.904840610E-04  1.930118503E-04  2.622026838E-04 
        31  2.544898307E-04  1.628902683E-04  1.408289672E-04  2.717250439E-04 
        32  1.096526103E-04  2.760440657E-05  2.794200578E-05  1.007808420E-04 
        33  2.129570785E-04  1.407379386E-05  2.931386421E-05  2.067113238E-04 
