cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.376487806E-03  1.981611829E-03  1.933136697E-03 -4.416522146E-03 
         2 -4.312819801E-03  1.954026287E-03  1.931426409E-03 -4.314333929E-03 
         3 -4.243907984E-03  1.972414320E-03  1.931636683E-03 -4.211520295E-03 
         4 -3.362822812E-03  1.996976556E-03  1.932905906E-03 -3.406640362E-03 
         5 -3.316221992E-03  1.996976556E-03  1.937228295E-03 -3.300266113E-03 
         6 -3.095295047E-03  1.990949735E-03  1.941788315E-03 -3.105180951E-03 
         7 -2.998686861E-03  1.974975690E-03  1.939727861E-03 -3.005310109E-03 
         8 -2.899591345E-03  1.963957446E-03  1.935561470E-03 -2.904892689E-03 
         9 -2.798874164E-03  1.954487991E-03  1.932500257E-03 -2.802616471E-03 
        10 -2.697740216E-03  1.945676631E-03  1.932111083E-03 -2.699786421E-03 
        11  7.768034702E-04  1.088666249E-05  3.064314326E-05  7.819077585E-04 
        12  7.341367891E-04  1.088666249E-05  2.376551705E-05  7.244123886E-04 
        13 -1.009366708E-03  1.080386501E-04  6.636507486E-05 -1.005326591E-03 
        14 -9.094643174E-04  1.233119983E-04  6.680606303E-05 -9.013910211E-04 
        15 -8.564178133E-04  1.322165190E-04  1.984103759E-04 -9.069970064E-04 
        16 -7.962742820E-04  1.340414165E-04  1.938604447E-04 -7.950795716E-04 
        17 -6.891046651E-04  1.340708841E-04  1.869981581E-04 -6.853314307E-04 
        18 -5.832891329E-04  1.288671629E-04  1.774708527E-04 -5.775250902E-04 
        19 -4.775892885E-04  1.202730637E-04  1.637269837E-04 -4.703043525E-04 
        20 -3.762117121E-04  1.124014016E-04  1.461014197E-04 -3.694341506E-04 
        21 -2.781398071E-04  1.100458030E-04  1.281231806E-04 -2.752816664E-04 
        22 -1.839216420E-04  1.240101992E-04  1.108253011E-04 -1.840752402E-04 
        23 -1.347837679E-04  1.378587913E-04  1.824621522E-04 -1.631405136E-04 
        24 -9.428364865E-05  1.414960279E-04  1.562393313E-04 -8.961924719E-05 
        25 -4.844469004E-05  1.310651569E-04  1.429506679E-04 -2.640014050E-05 
        26 -2.087768371E-05  8.893587801E-05  8.900635807E-05 -3.160334126E-05 
        27 -3.084198568E-07  5.766947652E-05  3.067821061E-05 -2.973995391E-05 
        28  3.917552749E-05  3.947902223E-05  3.393898202E-05  4.248468120E-05 
        29  8.215168054E-05  1.192498712E-05  2.794200578E-05  1.007808420E-04 
        30 -2.418985590E-03  6.131927512E-05  7.332680564E-05 -2.420594786E-03 
        31 -2.315638820E-03  6.357988605E-05  7.311501499E-05 -2.316820890E-03 
        32 -2.212514402E-03  6.567638775E-05  7.043852328E-05 -2.213196658E-03 
        33 -2.110344591E-03  6.805264275E-05  6.674919455E-05 -2.110809722E-03 
        34 -2.008907497E-03  7.222680870E-05  6.249115734E-05 -2.009269490E-03 
        35 -1.909825485E-03  7.834007556E-05  5.855735120E-05 -1.909155614E-03 
        36 -1.811751630E-03  8.604069444E-05  5.673498202E-05 -1.809930395E-03 
        37 -1.712669502E-03  9.208387928E-05  5.515330775E-05 -1.709579807E-03 
        38 -1.612756285E-03  9.536419384E-05  5.457516422E-05 -1.609092055E-03 
        39 -1.514187083E-03  9.942611359E-05  5.383556151E-05 -1.509067679E-03 
        40 -1.417409396E-03  1.041164869E-04  5.490773208E-05 -1.410009075E-03 
        41 -1.318314113E-03  1.044028540E-04  5.715688499E-05 -1.310405891E-03 
        42 -1.216624980E-03  9.969982784E-05  6.005970237E-05 -1.209844188E-03 
        43 -1.113770995E-03  9.907858475E-05  6.361088174E-05 -1.108407631E-03 
        44 -2.596415579E-03  1.940474962E-03  1.933004749E-03 -2.597631251E-03 
        45 -2.494762419E-03  1.937002060E-03  1.934575948E-03 -2.495273050E-03 
        46 -2.393062925E-03  1.933114487E-03  1.936099255E-03 -2.392953671E-03 
        47 -2.290144796E-03  1.930110971E-03  1.936053435E-03 -2.289587949E-03 
        48 -2.185855294E-03  1.929753344E-03  1.934468811E-03 -2.185353151E-03 
        49 -2.081511775E-03  1.930771046E-03  1.932282097E-03 -2.081243068E-03 
        50 -1.977570122E-03  1.931597595E-03  1.931099759E-03 -1.977459928E-03 
        51 -1.874058275E-03  1.931478619E-03  1.931720263E-03 -1.874312453E-03 
        52 -1.770091243E-03  1.929752063E-03  1.935050064E-03 -1.771475459E-03 
        53 -1.666635741E-03  1.922113122E-03  1.942464568E-03 -1.670585838E-03 
        54  1.486656838E-03  3.089080201E-05  3.086320835E-05  1.462606141E-03 
        55  1.499461941E-03  8.306918608E-05  9.659987960E-05  1.457926661E-03 
        56  1.509079710E-03  1.129759985E-04  8.827208810E-05  1.542645135E-03 
        57  1.509704278E-03  1.274476381E-04  1.460479947E-04  1.540643245E-03 
        58  1.501899678E-03  1.564233389E-04  1.550347433E-04  1.467299926E-03 
        59  1.490359777E-03  2.077660174E-04  2.085884591E-04  1.483636853E-03 
        60  1.476161764E-03  2.592815144E-04  2.613806045E-04  1.491844116E-03 
        61  1.467760885E-03  2.889226889E-04  2.682717462E-04  1.438105037E-03 
        62  1.465054695E-03  3.002785961E-04  3.110205828E-04  1.429157492E-03 
        63  1.428512041E-03  3.834345262E-04  3.604196062E-04  1.414468662E-03 
        64  1.417654334E-03  4.208975879E-04  4.177920331E-04  1.417499052E-03 
        65  1.408868004E-03  4.561463720E-04  4.251822014E-04  1.372849306E-03 
        66  1.403998234E-03  4.860573099E-04  4.834636750E-04  1.376110206E-03 
        67  1.394396182E-03  5.308465334E-04  5.289337090E-04  1.374345985E-03 
        68  1.281682984E-03  5.877041840E-04  6.000745116E-04  1.269170627E-03 
        69  1.252737828E-03  5.724671646E-04  5.481837696E-04  1.272603813E-03 
        70  1.216297387E-03  5.593253882E-04  5.490666888E-04  1.216611316E-03 
        71  1.183851273E-03  5.648268270E-04  5.505086844E-04  1.165203791E-03 
        72  1.171556651E-03  6.082743057E-04  6.084653098E-04  1.163380102E-03 
        73  1.150774304E-03  6.611885037E-04  6.614188566E-04  1.158170883E-03 
        74  1.133322134E-03  6.850783248E-04  7.126426140E-04  1.150301930E-03 
        75  1.111231977E-03  6.985671935E-04  7.126853218E-04  1.110469354E-03 
        76  1.090471749E-03  7.679528790E-04  7.624601683E-04  1.099526786E-03 
        77  1.113994978E-03  8.023585542E-04  8.038144634E-04  1.096811606E-03 
        78  1.128816162E-03  8.300538757E-04  8.561175837E-04  1.109418916E-03 
        79  1.144230831E-03  8.536061505E-04  8.423857949E-04  1.154607389E-03 
        80  1.158727682E-03  8.935243823E-04  8.909833062E-04  1.167373771E-03 
        81  1.162055414E-03  9.166863165E-04  9.015972029E-04  1.132509972E-03 
        82 -2.522182185E-03  5.893544221E-05  7.110491468E-05 -2.524064784E-03 
        83 -2.625368070E-03  5.685659562E-05  6.600393607E-05 -2.626677037E-03 
        84 -2.728158375E-03  5.593554306E-05  5.825507198E-05 -2.727486420E-03 
        85 -2.829121659E-03  5.668868471E-05  4.912679422E-05 -2.825656849E-03 
        86 -2.925286070E-03  5.796039841E-05  4.152960011E-05 -2.921255581E-03 
        87 -3.017317737E-03  5.294769653E-05  4.077177812E-05 -3.017093035E-03 
        88 -3.113704268E-03  3.035484406E-05  4.724476742E-05 -3.112842704E-03 
        89 -3.179368330E-03  6.593394573E-06  5.527762229E-05 -3.210920916E-03 
        90 -4.644367844E-03  2.529537232E-05  5.666467444E-05 -4.629023667E-03 
        91 -4.705483094E-03  2.529537232E-05  6.050692886E-05 -4.730923795E-03 
        92  1.296902075E-03  1.563045429E-03  1.526526576E-03  1.276930017E-03 
