cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.275371786E-03  1.979159657E-03  1.931426409E-03 -4.314333929E-03 
         2 -4.210442770E-03  1.955276588E-03  1.931636683E-03 -4.211520295E-03 
         3 -4.145747051E-03  1.976117026E-03  1.933075753E-03 -4.109019672E-03 
         4 -3.261295846E-03  1.989545301E-03  1.937228295E-03 -3.300266113E-03 
         5 -3.198020393E-03  1.978849061E-03  1.943163964E-03 -3.201366508E-03 
         6 -3.097211942E-03  1.986032818E-03  1.941788315E-03 -3.105180951E-03 
         7 -3.031805856E-03  1.996729057E-03  1.939727861E-03 -3.005310109E-03 
         8 -2.687605331E-03  1.980745466E-03  1.932111083E-03 -2.699786421E-03 
         9 -1.007121522E-03  8.250720566E-05  6.636507486E-05 -1.005326591E-03 
        10 -9.019994759E-04  8.349878772E-05  6.680606303E-05 -9.013910211E-04 
        11 -7.967156125E-04  8.833594620E-05  6.575810028E-05 -7.972552363E-04 
        12 -6.912847748E-04  9.669549763E-05  6.355081433E-05 -6.935649223E-04 
        13 -5.912407069E-04  1.090969236E-04  6.038485763E-05 -5.907983585E-04 
        14 -5.376956542E-04  1.166135626E-04  1.774708527E-04 -5.775250902E-04 
        15 -4.781350144E-04  1.165483482E-04  1.637269837E-04 -4.703043525E-04 
        16 -3.753088822E-04  1.163622001E-04  1.461014197E-04 -3.694341506E-04 
        17 -2.762116201E-04  1.185316432E-04  1.281231806E-04 -2.752816664E-04 
        18 -1.904172823E-04  1.310474472E-04  1.108253011E-04 -1.840752402E-04 
        19 -1.412198617E-04  1.427555981E-04  1.824621522E-04 -1.631405136E-04 
        20 -9.159481124E-05  1.521942759E-04  1.562393313E-04 -8.961924719E-05 
        21 -4.501263902E-05  1.661399729E-04  1.429506679E-04 -2.640014050E-05 
        22 -1.294913091E-05  1.784413616E-04  1.926155920E-04 -1.566857720E-05 
        23  4.202490891E-05  1.948274439E-04  1.880186171E-04  3.887628747E-05 
        24  7.703636948E-05  2.055154910E-04  2.417783347E-04  4.495860527E-05 
        25  8.207784413E-05  2.070029004E-04  2.489255570E-04  9.405898740E-05 
        26  8.224298654E-05  7.109095168E-05  8.707509544E-05  3.682231778E-05 
        27  8.281614282E-05  6.786799349E-05  3.393898202E-05  4.248468120E-05 
        28  1.008593026E-04  3.317940354E-05  2.794200578E-05  1.007808420E-04 
        29  2.143852471E-04  2.165884653E-04  2.543585031E-04  2.013657630E-04 
        30  2.215630229E-04  2.140998840E-04  2.459371493E-04  2.552620506E-04 
        31  2.256154548E-04  2.053398930E-04  1.930118503E-04  2.622026838E-04 
        32  1.437085739E-04  2.168769424E-05  2.186998844E-05  1.544726897E-04 
        33  2.089288027E-04  3.666356497E-05  2.931386421E-05  2.067113238E-04 
        34  2.521320712E-04  1.184321627E-05  3.429371706E-05  2.597225743E-04 
        35 -2.416224452E-03  4.320706648E-05  7.332680564E-05 -2.420594786E-03 
        36 -2.314919839E-03  5.734035585E-05  7.311501499E-05 -2.316820890E-03 
        37 -2.212458290E-03  6.502841279E-05  7.043852328E-05 -2.213196658E-03 
        38 -2.110401168E-03  6.983446656E-05  6.674919455E-05 -2.110809722E-03 
        39 -2.009015996E-03  7.662497956E-05  6.249115734E-05 -2.009269490E-03 
        40 -1.910147606E-03  8.509455074E-05  5.855735120E-05 -1.909155614E-03 
        41 -1.812258968E-03  9.308751760E-05  5.673498202E-05 -1.809930395E-03 
        42 -1.713013626E-03  9.626685642E-05  5.515330775E-05 -1.709579807E-03 
        43 -1.612777822E-03  9.556251462E-05  5.457516422E-05 -1.609092055E-03 
        44 -1.513862517E-03  9.669533029E-05  5.383556151E-05 -1.509067679E-03 
        45 -1.416799263E-03  9.992559353E-05  5.490773208E-05 -1.410009075E-03 
        46 -1.317554386E-03  9.967524966E-05  5.715688499E-05 -1.310405891E-03 
        47 -1.215532422E-03  9.278086509E-05  6.005970237E-05 -1.209844188E-03 
        48 -1.111951075E-03  8.551630162E-05  6.361088174E-05 -1.108407631E-03 
        49 -2.594716148E-03  1.952864463E-03  1.933004749E-03 -2.597631251E-03 
        50 -2.494058339E-03  1.942887786E-03  1.934575948E-03 -2.495273050E-03 
        51 -2.392400987E-03  1.939321286E-03  1.936099255E-03 -2.392953671E-03 
