cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.259443376E-03  1.999852713E-03  1.931426409E-03 -4.314333929E-03 
         2 -4.209505394E-03  1.970663434E-03  1.931636683E-03 -4.211520295E-03 
         3 -4.135366529E-03  1.970810816E-03  1.933075753E-03 -4.109019672E-03 
         4 -3.249373753E-03  1.996934880E-03  1.937228295E-03 -3.300266113E-03 
         5 -3.198099555E-03  1.985023962E-03  1.943163964E-03 -3.201366508E-03 
         6 -3.098691581E-03  1.978192711E-03  1.941788315E-03 -3.105180951E-03 
         7 -3.012491623E-03  1.990104094E-03  1.939727861E-03 -3.005310109E-03 
         8 -2.655650256E-03  1.991722733E-03  1.932111083E-03 -2.699786421E-03 
         9  1.811587834E-03  2.243236959E-04  2.266481103E-04  1.821234054E-03 
        10  1.798144542E-03  2.447132720E-04  2.643540103E-04  1.814250299E-03 
        11  1.950746984E-03  7.093516615E-05  8.091219465E-05  1.957743481E-03 
        12  1.982292160E-03  3.091141116E-05  2.936931078E-05  1.958600325E-03 
        13  1.994252205E-03  2.630424433E-06  2.830262745E-05  2.024551158E-03 
        14  1.815631753E-03  5.238023587E-04  5.138274224E-04  1.819273723E-03 
        15  1.785425353E-03  5.244320491E-04  5.352986275E-04  1.787036873E-03 
        16 -1.007081242E-03  8.193618123E-05  6.636507486E-05 -1.005326591E-03 
        17 -9.019247955E-04  8.097296814E-05  6.680606303E-05 -9.013910211E-04 
        18 -7.968401187E-04  8.200974844E-05  6.575810028E-05 -7.972552363E-04 
        19 -6.919851294E-04  8.521365817E-05  6.355081433E-05 -6.935649223E-04 
        20 -5.868583103E-04  9.306846914E-05  6.038485763E-05 -5.907983585E-04 
        21 -5.046954029E-04  1.039804338E-04  5.539476994E-05 -4.882335345E-04 
        22 -4.507550620E-04  1.096137712E-04  1.637269837E-04 -4.703043525E-04 
        23 -3.763798159E-04  1.115471096E-04  1.461014197E-04 -3.694341506E-04 
        24 -2.766105172E-04  1.167877053E-04  1.281231806E-04 -2.752816664E-04 
        25 -1.921047660E-04  1.313835528E-04  1.108253011E-04 -1.840752402E-04 
        26 -1.424350921E-04  1.442715875E-04  1.824621522E-04 -1.631405136E-04 
        27 -9.056216368E-05  1.563214610E-04  1.562393313E-04 -8.961924719E-05 
        28 -4.863902723E-05  1.696850086E-04  1.429506679E-04 -2.640014050E-05 
        29 -1.694981256E-05  1.803282939E-04  1.926155920E-04 -1.566857720E-05 
        30  4.070245632E-05  1.965595147E-04  1.880186171E-04  3.887628747E-05 
        31  7.537280908E-05  2.065919252E-04  2.417783347E-04  4.495860527E-05 
        32  8.282248746E-05  2.083383442E-04  2.489255570E-04  9.405898740E-05 
        33  2.064624132E-04  2.253381535E-04  2.543585031E-04  2.013657630E-04 
        34  2.257681335E-04  2.182642784E-04  2.459371493E-04  2.552620506E-04 
        35  2.514987718E-04  1.905031968E-04  1.930118503E-04  2.622026838E-04 
        36  2.805102849E-04  1.394493593E-04  1.408289672E-04  2.717250439E-04 
        37  2.920613333E-04  1.010698106E-04  8.822211316E-05  2.654353734E-04 
        38  3.004072641E-04  7.502868539E-05  8.110587978E-05  3.211743461E-04 
        39  3.277040087E-04  4.032266224E-05  2.775908311E-05  3.200411847E-04 
        40  3.779496474E-04  1.167290884E-05  2.357188179E-05  3.768744278E-04 
        41  4.075189063E-04  5.359979127E-07  1.961275604E-05  4.300925550E-04 
        42  1.054070017E-04  2.836458589E-05  2.794200578E-05  1.007808420E-04 
        43  1.991630706E-04  2.800297443E-05  2.931386421E-05  2.067113238E-04 
        44 -2.413677750E-03  2.613806464E-05  7.332680564E-05 -2.420594786E-03 
        45 -2.314013429E-03  4.922314110E-05  7.311501499E-05 -2.316820890E-03 
        46 -2.212284133E-03  6.232700980E-05  7.043852328E-05 -2.213196658E-03 
        47 -2.110346453E-03  6.842907896E-05  6.674919455E-05 -2.110809722E-03 
        48 -2.009007614E-03  7.642078708E-05  6.249115734E-05 -2.009269490E-03 
        49 -1.910260646E-03  8.699313184E-05  5.855735120E-05 -1.909155614E-03 
        50 -1.812583650E-03  9.746526484E-05  5.673498202E-05 -1.809930395E-03 
        51 -1.713476027E-03  1.016347160E-04  5.515330775E-05 -1.709579807E-03 
        52 -1.613190281E-03  9.999441681E-05  5.457516422E-05 -1.609092055E-03 
        53 -1.514179166E-03  9.968029190E-05  5.383556151E-05 -1.509067679E-03 
        54 -1.417002175E-03  1.014071750E-04  5.490773208E-05 -1.410009075E-03 
        55 -1.317582792E-03  9.985929501E-05  5.715688499E-05 -1.310405891E-03 
        56 -1.215493889E-03  9.253995813E-05  6.005970237E-05 -1.209844188E-03 
        57 -1.111935242E-03  8.540952695E-05  6.361088174E-05 -1.108407631E-03 
        58 -2.592932899E-03  1.965774223E-03  1.933004749E-03 -2.597631251E-03 
        59 -2.493690467E-03  1.945901429E-03  1.934575948E-03 -2.495273050E-03 
        60 -2.392123919E-03  1.941949013E-03  1.936099255E-03 -2.392953671E-03 
        61 -2.289450029E-03  1.938811503E-03  1.936053435E-03 -2.289587949E-03 
        62 -2.185589401E-03  1.936667832E-03  1.934468811E-03 -2.185353151E-03 
        63 -2.081529703E-03  1.935318345E-03  1.932282097E-03 -2.081243068E-03 
        64 -1.977682346E-03  1.934197382E-03  1.931099759E-03 -1.977459928E-03 
        65 -1.874163398E-03  1.932854881E-03  1.931720263E-03 -1.874312453E-03 
        66 -1.770228846E-03  1.930892467E-03  1.935050064E-03 -1.771475459E-03 
        67 -1.667012926E-03  1.924957032E-03  1.942464568E-03 -1.670585838E-03 
        68  1.960814930E-03  7.031759596E-04  7.020394472E-04  1.964829790E-03 
        69  1.956392080E-03  7.488220581E-04  7.540233109E-04  1.970490830E-03 
        70  1.942021539E-03  7.891217829E-04  7.766083876E-04  1.922232707E-03 
        71  1.917867456E-03  8.305247757E-04  8.421551276E-04  1.924813670E-03 
        72  1.892752829E-03  8.692919509E-04  8.511538807E-04  1.868482330E-03 
        73  1.868840191E-03  9.009176865E-04  8.975857868E-04  1.857781324E-03 
        74  1.835386618E-03  9.419167181E-04  9.408219774E-04  1.838824946E-03 
        75  1.816730830E-03  9.688694263E-04  9.921250887E-04  1.827066055E-03 
        76  1.807109336E-03  9.926585481E-04  9.876068097E-04  1.793193515E-03 
        77  1.787187066E-03  1.032942091E-03  1.039469899E-03  1.790791225E-03 
        78  1.764120767E-03  1.071152044E-03  1.048534989E-03  1.749697498E-03 
        79  1.767817303E-03  1.088195015E-03  1.092194063E-03  1.771181566E-03 
        80  1.790335635E-03  1.080516144E-03  1.092464257E-03  1.801490500E-03 
        81  1.804868924E-03  1.055326080E-03  1.039469899E-03  1.790791225E-03 
        82  1.825687708E-03  1.028272207E-03  1.044953814E-03  1.829401833E-03 
        83  2.044014866E-03  9.772381745E-04  9.532104048E-04  2.051409553E-03 
        84  2.065201057E-03  9.789122269E-04  1.004879637E-03  2.056249407E-03 
        85  2.097610617E-03  9.878446581E-04  1.003857545E-03  2.093754380E-03 
        86  1.828689245E-03  1.527583692E-03  1.509836650E-03  1.809975330E-03 
        87  1.816765056E-03  1.551942085E-03  1.560884347E-03  1.827830160E-03 
        88  1.781995874E-03  1.590116532E-03  1.579008411E-03  1.780569429E-03 
        89  1.733375015E-03  1.604305231E-03  1.582595273E-03  1.734875914E-03 
        90  2.031193580E-03  1.381975366E-03  1.357473860E-03  2.022891454E-03 
        91  2.021562541E-03  1.398092951E-03  1.418216501E-03  2.044577436E-03 
