cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.082506057E-03  1.972614089E-03  1.933075753E-03 -4.109019672E-03 
         2 -4.021123052E-03  1.972614089E-03  1.934369578E-03 -4.006508197E-03 
         3 -2.959978068E-03  1.994131366E-03  1.939727861E-03 -3.005310109E-03 
         4 -2.894009929E-03  1.991633326E-03  1.935561470E-03 -2.904892689E-03 
         5 -2.823214745E-03  1.997502055E-03  1.932500257E-03 -2.802616471E-03 
         6  7.087331032E-04  1.921648163E-06  2.376551705E-05  7.244123886E-04 
         7  6.673515309E-04  8.961156709E-06  2.274665324E-05  6.657491188E-04 
         8  6.038896972E-04  1.222882656E-05  2.138182500E-05  6.018984717E-04 
         9  2.045258414E-03  2.054340584E-04  2.073646718E-04  2.035780872E-03 
        10  2.030705800E-03  1.670244383E-04  1.666333556E-04  2.029135896E-03 
        11  2.012647688E-03  1.345618512E-04  1.344077537E-04  2.009177983E-03 
        12  2.027308801E-03  1.171065014E-04  9.041714092E-05  2.019015436E-03 
        13  2.086711116E-03  1.053529559E-04  9.321694742E-05  2.087244387E-03 
        14  2.158845775E-03  8.963607979E-05  8.927237462E-05  2.158173226E-03 
        15  2.208665479E-03  6.969673996E-05  8.900181543E-05  2.222977803E-03 
        16  2.240524860E-03  2.930559458E-05  3.033947023E-05  2.234936416E-03 
        17  2.205986995E-03  2.992251539E-04  3.121268945E-04  2.204077594E-03 
        18  2.244076459E-03  3.197453916E-04  3.314104695E-04  2.231470440E-03 
        19  2.261867980E-03  3.361029667E-04  3.128599891E-04  2.272489471E-03 
        20  2.390674781E-03  4.855764564E-04  4.938707706E-04  2.384454192E-03 
        21  2.422793303E-03  5.053727073E-04  4.916197099E-04  2.436088877E-03 
        22  2.436738461E-03  5.458403612E-04  5.479773461E-04  2.430106551E-03 
        23  2.428564010E-03  5.915745860E-04  5.961515552E-04  2.434790317E-03 
        24 -1.006717095E-03  7.786544302E-05  6.636507486E-05 -1.005326591E-03 
        25 -9.016828844E-04  7.471153367E-05  6.680606303E-05 -9.013910211E-04 
        26 -7.969936705E-04  7.222729619E-05  6.575810028E-05 -7.972552363E-04 
        27 -6.929492811E-04  6.938433216E-05  6.355081433E-05 -6.935649223E-04 
        28 -5.895415670E-04  6.697753997E-05  6.038485763E-05 -5.907983585E-04 
        29 -4.857212480E-04  6.616486644E-05  5.539476994E-05 -4.882335345E-04 
