cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.564159084E-03  1.998928143E-03  1.941195501E-03 -4.618455788E-03 
         2 -4.514771979E-03  1.975694671E-03  1.936762355E-03 -4.517952941E-03 
         3 -4.418500699E-03  1.976766856E-03  1.933136697E-03 -4.416522146E-03 
         4 -3.664790187E-03  1.989293145E-03  1.940709876E-03 -3.705521991E-03 
         5 -3.603984602E-03  1.973520033E-03  1.941697752E-03 -3.607061421E-03 
         6 -3.503039014E-03  1.978540560E-03  1.938766576E-03 -3.509147931E-03 
         7 -3.412530292E-03  1.994313672E-03  1.932905906E-03 -3.406640362E-03 
         8 -3.292480018E-03  1.984643983E-03  1.937228295E-03 -3.300266113E-03 
         9 -3.200273961E-03  1.960895723E-03  1.943163964E-03 -3.201366508E-03 
        10 -3.103733063E-03  1.950422651E-03  1.941788315E-03 -3.105180951E-03 
        11 -3.004644532E-03  1.945426455E-03  1.939727861E-03 -3.005310109E-03 
        12 -2.904245164E-03  1.941285096E-03  1.935561470E-03 -2.904892689E-03 
        13 -2.801704686E-03  1.938797534E-03  1.932500257E-03 -2.802616471E-03 
        14 -2.699132310E-03  1.936370623E-03  1.932111083E-03 -2.699786421E-03 
        15  5.728272954E-04  3.682382157E-05  2.138182500E-05  6.018984717E-04 
        16  5.872795591E-04  6.485976337E-05  6.584662874E-05  5.900174018E-04 
        17  5.790558644E-04  9.878735000E-05  1.047861960E-04  5.908493070E-04 
        18  5.457419902E-04  2.752899018E-04  2.776752092E-04  5.399334225E-04 
        19  5.447221338E-04  3.037844726E-04  3.077622525E-04  5.581903462E-04 
        20  5.216993159E-04  3.258420038E-04  3.145368828E-04  5.135309718E-04 
        21  5.148451310E-04  5.196727579E-04  5.373752763E-04  5.123458747E-04 
        22  5.427212454E-04  5.170066725E-04  4.835280086E-04  5.348114888E-04 
        23  5.678932066E-04  5.129982019E-04  5.014866796E-04  5.702682013E-04 
        24  6.056633429E-04  5.168361822E-04  5.123845153E-04  6.065179898E-04 
        25  6.281416281E-04  5.285672378E-04  5.091593634E-04  6.429616345E-04 
        26  6.439346471E-04  5.700028269E-04  5.697136367E-04  6.468117754E-04 
        27  6.484104670E-04  6.303984555E-04  6.281775836E-04  6.427421625E-04 
        28  6.312504411E-04  6.822801079E-04  6.822575325E-04  6.410872359E-04 
        29  6.196787581E-04  7.105036057E-04  6.830956923E-04  5.914529663E-04 
        30  6.057174760E-04  7.331935340E-04  7.332054687E-04  5.950388508E-04 
        31  5.837617209E-04  7.613166235E-04  7.754474491E-04  5.993853572E-04 
        32  5.702801282E-04  7.742992602E-04  7.696771306E-04  5.668816037E-04 
        33  5.541383289E-04  7.978943759E-04  7.888966782E-04  5.475460066E-04 
        34  5.382593954E-04  8.182384190E-04  8.019741209E-04  5.078648271E-04 
        35 -1.013490837E-03  1.456410100E-04  1.977556957E-04 -1.019009077E-03 
        36 -9.045065963E-04  1.365036005E-04  1.984103759E-04 -9.069970064E-04 
        37 -8.500680560E-04  1.316756825E-04  1.938604447E-04 -7.950795716E-04 
        38 -7.963250391E-04  1.220706326E-04  6.575810028E-05 -7.972552363E-04 
        39 -6.910706870E-04  1.048018894E-04  6.355081433E-05 -6.935649223E-04 
        40 -5.872818874E-04  9.129212413E-05  6.038485763E-05 -5.907983585E-04 
        41 -4.837457964E-04  8.070637705E-05  5.539476994E-05 -4.882335345E-04 
        42 -3.833033261E-04  7.352629473E-05  4.835427240E-05 -3.882786737E-04 
        43 -2.853708866E-04  7.308071508E-05  4.217445575E-05 -2.899144977E-04 
        44 -2.313804434E-04  7.658896357E-05  3.676977502E-05 -1.935137109E-04 
        45 -1.843840291E-04  8.092947246E-05  1.108253011E-04 -1.840752402E-04 
        46 -1.031129505E-04  8.860626258E-05  9.693807319E-05 -1.022720959E-04 
        47 -3.814929732E-05  1.034910092E-04  8.900635807E-05 -3.160334126E-05 
        48 -4.616608294E-06  1.160319007E-04  1.429506679E-04 -2.640014050E-05 
        49  2.921761370E-05  1.347864309E-04  1.372427601E-04  2.941064111E-05 
        50  2.626994683E-04  7.683564763E-05  8.822211316E-05  2.654353734E-04 
        51  3.210966825E-04  6.031535304E-05  8.110587978E-05  3.211743461E-04 
        52  3.536596196E-04  5.107101970E-05  7.532449945E-05  3.778114120E-04 
        53  3.824506130E-04  4.254483792E-05  2.357188179E-05  3.768744278E-04 
        54  4.289929930E-04  3.093903069E-05  1.961275604E-05  4.300925550E-04 
        55  4.813860287E-04  2.475469591E-05  1.937761130E-05  4.826194126E-04 
        56  5.382849486E-04  2.753015360E-05  1.926840855E-05  5.412139952E-04 
        57 -2.419720637E-03  6.640847278E-05  7.332680564E-05 -2.420594786E-03 
        58 -2.316138009E-03  6.871427468E-05  7.311501499E-05 -2.316820890E-03 
        59 -2.212861553E-03  7.167986769E-05  7.043852328E-05 -2.213196658E-03 
        60 -2.110625384E-03  7.590065070E-05  6.674919455E-05 -2.110809722E-03 
        61 -2.009191317E-03  8.355085447E-05  6.249115734E-05 -2.009269490E-03 
        62 -1.910664025E-03  9.544158820E-05  5.855735120E-05 -1.909155614E-03 
        63 -1.831087866E-03  1.076842454E-04  5.673498202E-05 -1.809930395E-03 
        64 -1.781799830E-03  1.138225634E-04  1.639647349E-04 -1.816655033E-03 
        65 -1.714916783E-03  1.167594237E-04  1.637208916E-04 -1.719440979E-03 
        66 -1.615442452E-03  1.226759778E-04  1.642989390E-04 -1.619670736E-03 
        67 -1.517924946E-03  1.336989662E-04  1.628884477E-04 -1.521335975E-03 
        68 -1.423797687E-03  1.474530873E-04  1.617335276E-04 -1.426165312E-03 
        69 -1.328071579E-03  1.555963099E-04  1.668645453E-04 -1.329549773E-03 
        70 -1.227487694E-03  1.572571782E-04  1.792718652E-04 -1.230890175E-03 
        71 -1.122119487E-03  1.536246564E-04  1.909506707E-04 -1.127491208E-03 
        72 -2.597253770E-03  1.934238593E-03  1.933004749E-03 -2.597631251E-03 
        73 -2.495298162E-03  1.932599116E-03  1.934575948E-03 -2.495273050E-03 
        74 -2.393289702E-03  1.931066276E-03  1.936099255E-03 -2.392953671E-03 
        75 -2.290140372E-03  1.930465805E-03  1.936053435E-03 -2.289587949E-03 
        76 -2.185805934E-03  1.931179781E-03  1.934468811E-03 -2.185353151E-03 
        77 -2.081495710E-03  1.931248582E-03  1.932282097E-03 -2.081243068E-03 
        78 -1.977453707E-03  1.929708640E-03  1.931099759E-03 -1.977459928E-03 
        79 -1.873559202E-03  1.925775665E-03  1.931720263E-03 -1.874312453E-03 
        80 -1.768440125E-03  1.916576060E-03  1.935050064E-03 -1.771475459E-03 
        81 -1.684454503E-03  1.898263115E-03  1.942464568E-03 -1.670585838E-03 
        82 -1.631230931E-03  1.884158817E-03  1.825174706E-03 -1.645199728E-03 
        83 -2.523336792E-03  6.490472879E-05  7.110491468E-05 -2.524064784E-03 
        84 -2.627339680E-03  6.495104753E-05  6.600393607E-05 -2.626677037E-03 
        85 -2.731814748E-03  6.885194307E-05  5.825507198E-05 -2.727486420E-03 
        86 -2.830592450E-03  8.205179620E-05  4.912679422E-05 -2.825656849E-03 
        87 -2.882577479E-03  9.210610733E-05  1.519967680E-04 -2.860687855E-03 
        88 -2.931723371E-03  9.116272122E-05  1.245868552E-04 -2.938612863E-03 
        89 -3.004312050E-03  8.765866369E-05  1.214414492E-04 -3.016459697E-03 
        90 -3.047386184E-03  8.097053797E-05  4.077177812E-05 -3.017093035E-03 
        91 -3.110330086E-03  6.691369344E-05  4.724476742E-05 -3.112842704E-03 
        92 -3.210766707E-03  4.712654118E-05  5.527762229E-05 -3.210920916E-03 
        93 -3.306801897E-03  1.856801282E-05  6.199954715E-05 -3.311930414E-03 
        94 -3.633021377E-03  7.806028407E-06  5.980250934E-05 -3.623612789E-03 
        95 -3.721644171E-03  1.689642522E-05  5.360691041E-05 -3.723738008E-03 
        96 -3.795329714E-03  9.090395906E-06  5.102335929E-05 -3.822366682E-03 
        97 -4.742555320E-03  2.663766645E-05  6.050692886E-05 -4.730923795E-03 
        98 -4.818363115E-03  2.663766645E-05  6.405840120E-05 -4.833593435E-03 
        99  9.899493307E-04  1.207001391E-03  1.216572883E-03  1.010525907E-03 
       100  7.800596650E-04  1.796258497E-03  1.803251687E-03  7.895421969E-04 
       101  7.615466602E-04  1.805475564E-03  1.798660013E-03  7.538720986E-04 
       102  7.616058574E-04  1.818918856E-03  1.823923363E-03  7.481920530E-04 
       103  7.930287393E-04  1.832262380E-03  1.833572987E-03  7.927785901E-04 
       104  8.394386969E-04  1.837078016E-03  1.826779189E-03  8.449609314E-04 
       105  8.705066284E-04  1.842086320E-03  1.864680410E-03  8.495539732E-04 
       106  9.051656816E-04  1.856607618E-03  1.846867949E-03  9.118974599E-04 
       107  9.398773545E-04  1.883525983E-03  1.906070019E-03  9.149439262E-04 
       108  9.617636679E-04  1.917462447E-03  1.891638275E-03  9.962546383E-04 
       109  9.742362890E-04  1.968156314E-03  1.967796512E-03  9.859944441E-04 
       110  7.108853315E-04  1.972309314E-03  1.967816509E-03  7.115485931E-04 
       111  7.398144226E-04  1.990926685E-03  1.969985588E-03  7.705550574E-04 
       112  8.821981028E-04  1.568953390E-03  1.570266400E-03  8.771817325E-04 
       113  9.026224143E-04  1.542583341E-03  1.554479229E-03  9.269980969E-04 
       114  9.060312877E-04  1.509402413E-03  1.506228789E-03  9.152113357E-04 
       115  5.232116091E-04  8.415405755E-04  8.392936969E-04  5.171645479E-04 
       116  4.883000511E-04  8.713942370E-04  8.575651773E-04  4.776334070E-04 
       117  9.047021158E-04  1.104945084E-03  1.091390956E-03  9.203198078E-04 
       118  9.377557435E-04  1.137535321E-03  1.139718901E-03  9.274138356E-04 
       119  9.607049869E-04  1.161286142E-03  1.182800027E-03  9.428842562E-04 
       120  9.787610034E-04  1.180734020E-03  1.173867840E-03  9.987014936E-04 
       121  4.977169447E-04  8.875760832E-04  9.062009124E-04  5.044511231E-04 
       122  5.614663824E-04  8.862946997E-04  9.078226562E-04  5.611508682E-04 
       123  6.319012027E-04  9.145226795E-04  9.218232026E-04  6.305022466E-04 
       124  6.702234969E-04  9.446971235E-04  9.342532967E-04  6.938187869E-04 
       125  6.872130325E-04  9.780670516E-04  9.796353195E-04  6.938989769E-04 
       126  6.855395623E-04  1.024632482E-03  1.023334556E-03  6.865319252E-04 
       127  6.878218846E-04  1.057344722E-03  1.070845796E-03  6.760124211E-04 
       128  5.892366753E-04  1.187015790E-03  1.166535547E-03  5.979226302E-04 
