cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.079050850E-03  1.973692328E-03  1.933075753E-03 -4.109019672E-03 
         2 -4.013444763E-03  1.973692561E-03  1.934369578E-03 -4.006508197E-03 
         3 -2.950220136E-03  1.996400068E-03  1.939727861E-03 -3.005310109E-03 
         4 -2.893500961E-03  1.994031016E-03  1.935561470E-03 -2.904892689E-03 
         5 -2.814658685E-03  1.997631276E-03  1.932500257E-03 -2.802616471E-03 
         6  7.076350157E-04  2.001509529E-06  2.376551705E-05  7.244123886E-04 
         7  6.673590397E-04  8.945260561E-06  2.274665324E-05  6.657491188E-04 
         8  6.039641448E-04  1.194956985E-05  2.138182500E-05  6.018984717E-04 
         9  2.107460517E-03  2.054817596E-04  2.034715338E-04  2.087885807E-03 
        10  2.112392103E-03  1.534758630E-04  1.538700609E-04  2.087042892E-03 
        11  2.118704375E-03  1.181392363E-04  9.321694742E-05  2.087244387E-03 
        12  2.157866023E-03  9.940093878E-05  8.927237462E-05  2.158173226E-03 
        13  2.213976812E-03  7.286790787E-05  8.900181543E-05  2.222977803E-03 
        14  2.251720056E-03  2.936476631E-05  3.033947023E-05  2.234936416E-03 
        15  1.778217033E-03  5.578228738E-04  5.352986275E-04  1.787036873E-03 
        16  2.196344314E-03  2.868872252E-04  2.718000809E-04  2.199040909E-03 
        17  2.222764771E-03  2.943917352E-04  3.121268945E-04  2.204077594E-03 
        18  2.233693609E-03  2.983441227E-04  3.314104695E-04  2.231470440E-03 
        19  2.261077287E-03  3.197194601E-04  3.128599891E-04  2.272489471E-03 
        20  2.375392476E-03  4.643870343E-04  4.358183084E-04  2.389704606E-03 
        21  2.380475868E-03  4.682598810E-04  4.612386868E-04  2.398496022E-03 
        22  2.399310470E-03  4.771914973E-04  4.938707706E-04  2.384454192E-03 
        23  2.431740053E-03  4.994997289E-04  4.916197099E-04  2.436088877E-03 
        24  2.450795146E-03  5.452905316E-04  5.479773461E-04  2.430106551E-03 
        25  2.436178271E-03  5.930908956E-04  5.961515552E-04  2.434790317E-03 
        26 -1.006720238E-03  7.788185030E-05  6.636507486E-05 -1.005326591E-03 
        27 -9.016791009E-04  7.456316234E-05  6.680606303E-05 -9.013910211E-04 
        28 -7.970000734E-04  7.186125003E-05  6.575810028E-05 -7.972552363E-04 
        29 -6.929810625E-04  6.884328468E-05  6.355081433E-05 -6.935649223E-04 
        30 -5.896074581E-04  6.631348515E-05  6.038485763E-05 -5.907983585E-04 
        31 -4.858456377E-04  6.532271800E-05  5.539476994E-05 -4.882335345E-04 
        32 -3.841213475E-04  6.881026638E-05  4.835427240E-05 -3.882786737E-04 
        33 -3.130101250E-04  7.896963507E-05  4.217445575E-05 -2.899144977E-04 
        34 -2.624271146E-04  8.800860815E-05  1.281231806E-04 -2.752816664E-04 
        35 -1.853805734E-04  9.856784891E-05  1.108253011E-04 -1.840752402E-04 
        36 -1.148687807E-04  1.169979878E-04  9.693807319E-05 -1.022720959E-04 
        37 -7.608997839E-05  1.313065441E-04  1.562393313E-04 -8.961924719E-05 
        38 -3.023485624E-05  1.517152414E-04  1.429506679E-04 -2.640014050E-05 
        39  3.208073167E-06  1.698161213E-04  1.926155920E-04 -1.566857720E-05 
        40  4.204282595E-05  1.856508898E-04  1.880186171E-04  3.887628747E-05 
        41  1.030848434E-04  2.861577741E-05  2.794200578E-05  1.007808420E-04 
        42  2.603369066E-04  1.338280563E-04  1.408289672E-04  2.717250439E-04 
        43  2.835367341E-04  9.565003711E-05  8.822211316E-05  2.654353734E-04 
        44  3.044483892E-04  6.750435568E-05  8.110587978E-05  3.211743461E-04 
        45  3.319991811E-04  4.241951319E-05  2.775908311E-05  3.200411847E-04 
        46  3.778302926E-04  1.794252421E-05  2.357188179E-05  3.768744278E-04 
        47  4.255229433E-04  3.994993676E-06  1.961275604E-05  4.300925550E-04 
        48  2.024828573E-04  2.887591654E-05  2.931386421E-05  2.067113238E-04 
        49  5.489776959E-04  5.005818366E-06  1.926840855E-05  5.412139952E-04 
        50 -2.180484124E-03  1.383787185E-05  7.043852328E-05 -2.213196658E-03 
        51 -2.109286375E-03  4.203497519E-05  6.674919455E-05 -2.110809722E-03 
        52 -2.008554526E-03  5.843684630E-05  6.249115734E-05 -2.009269490E-03 
        53 -1.909122453E-03  6.296236825E-05  5.855735120E-05 -1.909155614E-03 
        54 -1.810578164E-03  6.986504013E-05  5.673498202E-05 -1.809930395E-03 
        55 -1.711459365E-03  7.790652307E-05  5.515330775E-05 -1.709579807E-03 
        56 -1.611806103E-03  8.516223897E-05  5.457516422E-05 -1.609092055E-03 
        57 -1.513486844E-03  9.283051622E-05  5.383556151E-05 -1.509067679E-03 
        58 -1.416906714E-03  1.004991282E-04  5.490773208E-05 -1.410009075E-03 
        59 -1.317878952E-03  1.017001632E-04  5.715688499E-05 -1.310405891E-03 
        60 -1.215605065E-03  9.320735262E-05  6.005970237E-05 -1.209844188E-03 
        61 -1.111692050E-03  8.353470912E-05  6.361088174E-05 -1.108407631E-03 
        62 -2.373423660E-03  1.977266511E-03  1.936099255E-03 -2.392953671E-03 
        63 -2.288440708E-03  1.951120212E-03  1.936053435E-03 -2.289587949E-03 
        64 -2.185234800E-03  1.946875709E-03  1.934468811E-03 -2.185353151E-03 
        65 -2.081614919E-03  1.945129712E-03  1.932282097E-03 -2.081243068E-03 
        66 -1.978117507E-03  1.943297335E-03  1.931099759E-03 -1.977459928E-03 
        67 -1.874837559E-03  1.941230963E-03  1.931720263E-03 -1.874312453E-03 
        68 -1.771175419E-03  1.938960049E-03  1.935050064E-03 -1.771475459E-03 
        69 -1.668306184E-03  1.934611704E-03  1.942464568E-03 -1.670585838E-03 
        70  1.774697681E-03  5.707896198E-04  5.817275729E-04  1.779799089E-03 
        71  2.046652837E-03  1.420536777E-03  1.418216501E-03  2.044577436E-03 
        72  2.026681323E-03  1.449019881E-03  1.444602383E-03  2.025979133E-03 
        73  1.760696643E-03  1.747556147E-03  1.719651303E-03  1.773429624E-03 
        74  1.259409240E-03  4.409700978E-06  2.781562399E-05  1.291423479E-03 
        75  1.242639613E-03  4.409700978E-06  2.564670187E-05  1.216729608E-03 
        76  1.435505110E-03  3.292573965E-04  3.110205828E-04  1.429157492E-03 
        77  1.427972806E-03  3.498773731E-04  3.604196062E-04  1.414468662E-03 
        78  1.556289033E-03  5.065236473E-04  4.880986154E-04  1.558085760E-03 
        79  1.539809629E-03  5.267069209E-04  5.267495125E-04  1.542733763E-03 
        80  1.544831204E-03  5.565392203E-04  5.757771987E-04  1.538984415E-03 
        81  1.503153821E-03  1.605566358E-04  1.550347433E-04  1.467299926E-03 
        82  1.504477346E-03  1.795844582E-04  2.085884591E-04  1.483636853E-03 
        83  1.510673086E-03  1.784523338E-04  2.005083215E-04  1.536766356E-03 
        84  1.509349560E-03  1.594245259E-04  1.460479947E-04  1.540643245E-03 
        85 -2.818073612E-03  1.130478449E-05  4.912679422E-05 -2.825656849E-03 
        86 -2.919228049E-03  2.853482692E-05  4.152960011E-05 -2.921255581E-03 
        87 -3.016028320E-03  3.727590956E-05  4.077177812E-05 -3.017093035E-03 
        88 -3.113105195E-03  3.322914563E-05  4.724476742E-05 -3.112842704E-03 
        89 -3.175629070E-03  1.318327850E-05  5.527762229E-05 -3.210920916E-03 
        90 -4.372888710E-03  5.113293355E-06  6.007520483E-05 -4.324261684E-03 
        91 -4.425764550E-03  1.371306553E-05  5.780932662E-05 -4.424947168E-03 
        92 -4.483065568E-03  8.599771718E-06  5.596906824E-05 -4.526306414E-03 
        93  1.390236430E-03  1.667887438E-03  1.634375832E-03  1.387002411E-03 
        94  1.004096237E-03  1.992524602E-03  1.967796512E-03  9.859944441E-04 
        95  1.074866275E-03  1.969617791E-03  1.967889592E-03  1.075421463E-03 
        96  1.144774258E-03  1.977093052E-03  1.969581686E-03  1.167806069E-03 
        97  1.409418299E-03  1.767447335E-03  1.734941224E-03  1.424706626E-03 
        98  1.410189783E-03  1.770666451E-03  1.766326056E-03  1.433835196E-03 
        99  1.404694980E-03  1.787716406E-03  1.813666166E-03  1.410868630E-03 
       100  1.394631574E-03  1.821419224E-03  1.810099402E-03  1.382461143E-03 
       101  1.390871010E-03  1.845678780E-03  1.871273436E-03  1.376826709E-03 
       102  1.402756665E-03  1.871862682E-03  1.868211398E-03  1.409581679E-03 
       103  1.437301748E-03  1.908630366E-03  1.915664079E-03  1.434807790E-03 
       104  1.486813650E-03  1.929405844E-03  1.940247493E-03  1.479767767E-03 
       105  1.537019969E-03  1.930510858E-03  1.942136120E-03  1.535649528E-03 
       106  1.582927187E-03  1.916295732E-03  1.931519505E-03  1.584772875E-03 
       107  1.630492508E-03  1.901280717E-03  1.923318898E-03  1.639927620E-03 
       108  1.667327946E-03  1.876030001E-03  1.876924252E-03  1.647737271E-03 
       109  1.677557710E-03  1.854659640E-03  1.867363057E-03  1.716756957E-03 
       110  1.677555498E-03  1.852848683E-03  1.823944263E-03  1.705748553E-03 
       111  1.657631248E-03  1.840888057E-03  1.831441411E-03  1.658316801E-03 
       112  1.467403607E-03  1.735690865E-03  1.731962175E-03  1.472705342E-03 
       113  1.456198748E-03  1.709567616E-03  1.703226066E-03  1.464389014E-03 
       114  1.438273932E-03  1.689872006E-03  1.660659986E-03  1.451366918E-03 
       115  1.411645440E-03  1.675083535E-03  1.686055091E-03  1.413624910E-03 
       116  1.745722606E-03  1.741722575E-03  1.745547993E-03  1.743784054E-03 
       117  1.725671347E-03  1.751498086E-03  1.730930592E-03  1.714327700E-03 
       118  1.721694018E-03  1.776858000E-03  1.782133242E-03  1.704231979E-03 
       119  1.732907142E-03  1.791887800E-03  1.774727542E-03  1.742742310E-03 
       120  1.749130548E-03  1.789718750E-03  1.806662425E-03  1.750959794E-03 
