cellnumber     x-coordinate     y-coordinate     y-coordinate     x-coordinate 
         1 -4.077139776E-03  1.974759158E-03  1.933075753E-03 -4.109019672E-03 
         2 -4.007649608E-03  1.974759158E-03  1.934369578E-03 -4.006508197E-03 
         3 -2.946761670E-03  1.997782849E-03  1.939727861E-03 -3.005310109E-03 
         4 -2.893188503E-03  1.995503902E-03  1.935561470E-03 -2.904892689E-03 
         5 -2.809784608E-03  1.997720916E-03  1.932500257E-03 -2.802616471E-03 
         6  7.054578164E-04  1.246360739E-06  2.376551705E-05  7.244123886E-04 
         7  6.674811593E-04  8.045917639E-06  2.274665324E-05  6.657491188E-04 
         8  6.040226435E-04  1.170196902E-05  2.138182500E-05  6.018984717E-04 
         9  2.137706848E-03  2.137561969E-04  2.135920546E-04  2.139078798E-03 
        10  2.141042147E-03  1.541888341E-04  1.532036498E-04  2.150871609E-03 
        11  2.163549187E-03  1.066266705E-04  8.927237462E-05  2.158173226E-03 
        12  2.216574270E-03  7.491486758E-05  8.900181543E-05  2.222977803E-03 
        13  2.256207401E-03  3.484683839E-05  3.033947023E-05  2.234936416E-03 
        14  2.271400532E-03  5.452262940E-06  2.543826441E-05  2.298809444E-03 
        15  2.202520380E-03  2.835627529E-04  2.718000809E-04  2.199040909E-03 
        16  2.234108280E-03  2.923617722E-04  2.744122654E-04  2.248537651E-03 
        17  2.264137380E-03  3.166894021E-04  3.128599891E-04  2.272489471E-03 
        18  2.378495643E-03  4.583662376E-04  4.358183084E-04  2.389704606E-03 
        19  2.389626112E-03  4.664790467E-04  4.612386868E-04  2.398496022E-03 
        20  2.406249521E-03  4.753369140E-04  4.938707706E-04  2.384454192E-03 
        21  2.435575472E-03  4.972541356E-04  4.916197099E-04  2.436088877E-03 
        22  2.457393799E-03  5.360530340E-04  5.479773461E-04  2.430106551E-03 
        23  2.460177289E-03  5.659376038E-04  5.440537215E-04  2.479600031E-03 
        24  2.460489515E-03  5.760008935E-04  6.001120732E-04  2.481107966E-03 
        25  2.440680750E-03  5.952894571E-04  5.961515552E-04  2.434790317E-03 
        26 -1.006722683E-03  7.790653763E-05  6.636507486E-05 -1.005326591E-03 
        27 -9.016790427E-04  7.453551370E-05  6.680606303E-05 -9.013910211E-04 
        28 -7.970028091E-04  7.173380436E-05  6.575810028E-05 -7.972552363E-04 
        29 -6.929943338E-04  6.862145528E-05  6.355081433E-05 -6.935649223E-04 
        30 -5.896367948E-04  6.601909990E-05  6.038485763E-05 -5.907983585E-04 
        31 -4.859023611E-04  6.493902765E-05  5.539476994E-05 -4.882335345E-04 
        32 -3.842081642E-04  6.821897841E-05  4.835427240E-05 -3.882786737E-04 
        33 -3.119307221E-04  7.846805966E-05  4.217445575E-05 -2.899144977E-04 
        34 -2.613598481E-04  8.760476339E-05  1.281231806E-04 -2.752816664E-04 
        35 -1.855527080E-04  9.774971841E-05  1.108253011E-04 -1.840752402E-04 
        36 -1.141019020E-04  1.162787376E-04  9.693807319E-05 -1.022720959E-04 
        37 -7.529531285E-05  1.307009370E-04  1.562393313E-04 -8.961924719E-05 
        38 -2.945976121E-05  1.511873706E-04  1.429506679E-04 -2.640014050E-05 
        39  3.987056971E-06  1.691996877E-04  1.926155920E-04 -1.566857720E-05 
        40  4.170115062E-05  1.846438681E-04  1.880186171E-04  3.887628747E-05 
        41  1.030836356E-04  2.861591565E-05  2.794200578E-05  1.007808420E-04 
        42  2.599631262E-04  1.329144870E-04  1.408289672E-04  2.717250439E-04 
        43  2.830686281E-04  9.529067029E-05  8.822211316E-05  2.654353734E-04 
        44  3.039860458E-04  6.714104529E-05  8.110587978E-05  3.211743461E-04 
        45  3.315658250E-04  4.222826465E-05  2.775908311E-05  3.200411847E-04 
        46  3.778400132E-04  1.748692011E-05  2.357188179E-05  3.768744278E-04 
        47  4.247230536E-04  3.802555511E-06  1.961275604E-05  4.300925550E-04 
        48  2.024851128E-04  2.887654773E-05  2.931386421E-05  2.067113238E-04 
        49  5.495328805E-04  4.902413366E-06  1.926840855E-05  5.412139952E-04 
        50 -2.176568378E-03  1.171304484E-05  7.043852328E-05 -2.213196658E-03 
        51 -2.109184861E-03  3.967009980E-05  6.674919455E-05 -2.110809722E-03 
        52 -2.008541254E-03  5.791657532E-05  6.249115734E-05 -2.009269490E-03 
        53 -1.909084385E-03  6.220574141E-05  5.855735120E-05 -1.909155614E-03 
        54 -1.810491434E-03  6.868752098E-05  5.673498202E-05 -1.809930395E-03 
        55 -1.711326535E-03  7.638063835E-05  5.515330775E-05 -1.709579807E-03 
        56 -1.611646498E-03  8.344094385E-05  5.457516422E-05 -1.609092055E-03 
        57 -1.513283001E-03  9.099708404E-05  5.383556151E-05 -1.509067679E-03 
        58 -1.416654559E-03  9.874239186E-05  5.490773208E-05 -1.410009075E-03 
        59 -1.317687100E-03  1.004998485E-04  5.715688499E-05 -1.310405891E-03 
        60 -1.215532073E-03  9.275527555E-05  6.005970237E-05 -1.209844188E-03 
        61 -1.111682970E-03  8.347887342E-05  6.361088174E-05 -1.108407631E-03 
        62 -2.368633170E-03  1.978813438E-03  1.936099255E-03 -2.392953671E-03 
        63 -2.288274933E-03  1.952857478E-03  1.936053435E-03 -2.289587949E-03 
        64 -2.185222460E-03  1.947183162E-03  1.934468811E-03 -2.185353151E-03 
        65 -2.081616549E-03  1.945346361E-03  1.932282097E-03 -2.081243068E-03 
        66 -1.978127984E-03  1.943509560E-03  1.931099759E-03 -1.977459928E-03 
        67 -1.874858281E-03  1.941480790E-03  1.931720263E-03 -1.874312453E-03 
        68 -1.771213021E-03  1.939273439E-03  1.935050064E-03 -1.771475459E-03 
        69 -1.668366254E-03  1.935060602E-03  1.942464568E-03 -1.670585838E-03 
        70  1.760679763E-03  1.742341439E-03  1.719651303E-03  1.773429624E-03 
        71  1.332823653E-03  3.612615501E-06  3.029660721E-05  1.374394404E-03 
        72  1.326206722E-03  3.612615501E-06  2.781562399E-05  1.291423479E-03 
        73  1.425560564E-03  3.831181093E-04  3.604196062E-04  1.414468662E-03 
        74  1.427987241E-03  4.126519198E-04  4.177920331E-04  1.417499052E-03 
        75  1.442915760E-03  4.372854601E-04  4.666277231E-04  1.452042847E-03 
        76  1.501768129E-03  1.210612463E-04  9.659987960E-05  1.457926661E-03 
        77  1.481655287E-03  1.553066541E-04  1.550347433E-04  1.467299926E-03 
        78  1.487700851E-03  1.880932396E-04  2.085884591E-04  1.483636853E-03 
        79  1.514852513E-03  1.829381072E-04  2.005083215E-04  1.536766356E-03 
        80  1.515196520E-03  1.492786687E-04  1.460479947E-04  1.540643245E-03 
        81  1.508157584E-03  1.201884006E-04  8.827208810E-05  1.542645135E-03 
        82 -2.818269422E-03  1.143371992E-05  4.912679422E-05 -2.825656849E-03 
        83 -2.919284161E-03  2.884597779E-05  4.152960011E-05 -2.921255581E-03 
        84 -3.016048577E-03  3.750247924E-05  4.077177812E-05 -3.017093035E-03 
        85 -3.113548737E-03  2.954851880E-05  4.724476742E-05 -3.112842704E-03 
        86 -3.172634169E-03  9.458295608E-06  5.527762229E-05 -3.210920916E-03 
        87 -4.370200448E-03  9.578128811E-06  6.007520483E-05 -4.324261684E-03 
        88 -4.425769672E-03  1.449205229E-05  5.780932662E-05 -4.424947168E-03 
        89 -4.480073694E-03  4.913923476E-06  5.596906824E-05 -4.526306414E-03 
        90  1.396913547E-03  1.650772756E-03  1.634375832E-03  1.387002411E-03 
        91  1.420319546E-03  1.645780983E-03  1.608469635E-03  1.426755265E-03 
        92  1.561764628E-03  8.992382209E-04  9.083602403E-04  1.565467441E-03 
        93  1.534160227E-03  8.941293345E-04  9.121763868E-04  1.526331440E-03 
        94  1.529657748E-03  8.824581164E-04  8.680690053E-04  1.510217799E-03 
        95  1.547096064E-03  8.694868884E-04  8.614702438E-04  1.544803496E-03 
        96  9.845719906E-04  1.994430786E-03  1.967796512E-03  9.859944441E-04 
        97  1.073896885E-03  1.979457913E-03  1.967889592E-03  1.075421463E-03 
        98  1.168266870E-03  1.962860813E-03  1.969581686E-03  1.167806069E-03 
        99  1.220686594E-03  1.977833454E-03  1.971598349E-03  1.254225396E-03 
       100  1.439377666E-03  1.760745421E-03  1.766326056E-03  1.433835196E-03 
       101  1.421321183E-03  1.742491266E-03  1.734941224E-03  1.424706626E-03 
       102  1.492137089E-03  1.719790627E-03  1.731962175E-03  1.472705342E-03 
       103  1.490615308E-03  1.705217524E-03  1.713070001E-03  1.519707382E-03 
       104  1.490493072E-03  1.704718568E-03  1.679332608E-03  1.519103754E-03 
       105  1.475538593E-03  1.695919782E-03  1.703226066E-03  1.464389014E-03 
       106  1.442692475E-03  1.667108503E-03  1.660659986E-03  1.451366918E-03 
       107  1.588960411E-03  1.909783576E-03  1.931519505E-03  1.584772875E-03 
       108  1.641470240E-03  1.902065240E-03  1.923318898E-03  1.639927620E-03 
       109  1.680912916E-03  1.897070557E-03  1.917593129E-03  1.718751741E-03 
       110  1.692779595E-03  1.870707609E-03  1.867363057E-03  1.716756957E-03 
       111  1.710417448E-03  1.822267775E-03  1.823944263E-03  1.705748553E-03 
       112  1.722494490E-03  1.795391901E-03  1.782133242E-03  1.704231979E-03 
       113  1.743683941E-03  1.779372222E-03  1.774727542E-03  1.742742310E-03 
       114  1.763983513E-03  1.761098509E-03  1.775305427E-03  1.776653791E-03 
       115  1.768189366E-03  1.752057578E-03  1.745803435E-03  1.787931124E-03 
       116  1.653403044E-03  1.813394018E-03  1.831441411E-03  1.658316801E-03 
       117  1.674424275E-03  1.803607214E-03  1.782199968E-03  1.660432579E-03 
       118  1.700989902E-03  1.781791681E-03  1.782133242E-03  1.704231979E-03 
       119  1.726599992E-03  1.753579243E-03  1.730930592E-03  1.714327700E-03 
       120  1.743061002E-03  1.739899861E-03  1.745547993E-03  1.743784054E-03 
       121  2.030551899E-03  1.544373226E-03  1.555178835E-03  2.026855781E-03 
       122  2.068608766E-03  1.556865405E-03  1.551537216E-03  2.070480344E-03 
       123  2.095044358E-03  1.571132918E-03  1.555563887E-03  2.105372782E-03 
       124  2.119424287E-03  1.578987460E-03  1.594385786E-03  2.113121066E-03 
       125  2.163780853E-03  1.575681730E-03  1.578827015E-03  2.164550487E-03 
       126  2.219205722E-03  1.567435102E-03  1.560635545E-03  2.212241754E-03 
       127  2.249254845E-03  1.563879312E-03  1.586458066E-03  2.233624623E-03 
       128  2.277464606E-03  1.558179734E-03  1.565142072E-03  2.287688711E-03 
       129  2.324709203E-03  1.553816954E-03  1.544804640E-03  2.321760813E-03 
       130  2.372530987E-03  1.558314543E-03  1.554014128E-03  2.372590088E-03 
       131  2.410074929E-03  1.563064987E-03  1.542011125E-03  2.424626754E-03 
       132  2.437946154E-03  1.565437182E-03  1.584188107E-03  2.428147507E-03 
       133  2.477941336E-03  1.565432292E-03  1.581630475E-03  2.480464950E-03 
       134  2.035581740E-03  1.507238718E-03  1.502289524E-03  2.036632457E-03 
       135  2.062304877E-03  1.496154233E-03  1.504105866E-03  2.066065880E-03 
       136  2.082882915E-03  1.466882299E-03  1.466422024E-03  2.080995507E-03 
       137  2.274483442E-03  1.492515788E-03  1.515653272E-03  2.271471998E-03 
       138  2.247921890E-03  1.474753255E-03  1.476109714E-03  2.240038836E-03 
       139  2.219145652E-03  1.453405712E-03  1.445593373E-03  2.231478300E-03 
       140  2.477827016E-03  1.449402072E-03  1.430629914E-03  2.478038126E-03 
       141  2.483285265E-03  1.700115390E-03  1.679062906E-03  2.481335120E-03 
       142  2.466377569E-03  1.698711421E-03  1.738623951E-03  2.479550766E-03 
       143  2.449225169E-03  1.703370013E-03  1.718517235E-03  2.445875227E-03 
       144  2.333754208E-03  1.820942853E-03  1.819129066E-03  2.323892695E-03 
       145  2.342777094E-03  1.859572134E-03  1.864089860E-03  2.315357995E-03 
       146  2.348057693E-03  1.898298971E-03  1.872925413E-03  2.383585236E-03 
       147  2.351895906E-03  1.958375098E-03  1.957931955E-03  2.375987579E-03 
       148  2.479284769E-03  7.504570531E-04  7.685759618E-04  2.475169477E-03 
       149  2.440820681E-03  7.284179446E-04  7.278509213E-04  2.442101369E-03 
       150  2.418874996E-03  7.089033606E-04  6.928805253E-04  2.434189136E-03 
       151  4.609308962E-04  1.974807121E-03  1.974844604E-03  4.631898431E-04 
       152  4.198441165E-04  1.942228642E-03  1.926672699E-03  4.543770204E-04 
       153  3.982907219E-04  1.909727929E-03  1.912972231E-03  3.935666735E-04 
       154  3.761522821E-04  1.871989574E-03  1.859741076E-03  3.878779436E-04 
       155  1.844114886E-04  1.838488970E-03  1.827176184E-03  1.726120209E-04 
       156  1.464620727E-04  1.861251541E-03  1.877753079E-03  1.572261929E-04 
       157  1.085926924E-04  1.884217025E-03  1.869255230E-03  1.027193741E-04 
       158  7.388742233E-05  1.900060335E-03  1.922587147E-03  9.292035272E-05 
       159  2.370565380E-05  1.916232286E-03  1.913217268E-03  2.418366512E-05 
       160 -3.770912008E-05  1.930868486E-03  1.901941876E-03 -5.184226983E-05 
       161 -8.141742001E-05  1.942329691E-03  1.967698909E-03 -6.296029824E-05 
       162 -1.518904319E-04  1.955157379E-03  1.961727822E-03 -1.543619787E-04 
       163 -2.539268462E-04  1.967801945E-03  1.952891398E-03 -2.536683967E-04 
       164 -3.591883578E-04  1.985983923E-03  1.944888835E-03 -3.576104262E-04 
       165 -4.619251413E-04  1.995546278E-03  1.937868019E-03 -4.625970964E-04 
       166 -5.637748982E-04  1.991531346E-03  1.933420872E-03 -5.677151537E-04 
       167 -6.660193903E-04  1.985753188E-03  1.931035804E-03 -6.720340127E-04 
       168 -7.687424077E-04  1.979841851E-03  1.929621388E-03 -7.762373276E-04 
       169 -8.724398213E-04  1.972249011E-03  1.929185365E-03 -8.805429480E-04 
       170 -9.776243242E-04  1.962239388E-03  1.931300447E-03 -9.845805923E-04 
       171 -1.084043877E-03  1.952130580E-03  1.936006340E-03 -1.087852054E-03 
       172 -1.190046198E-03  1.942712115E-03  1.943793790E-03 -1.188405186E-03 
       173 -1.294135465E-03  1.925833058E-03  1.951891793E-03 -1.285628838E-03 
       174 -1.353871892E-03  1.912331791E-03  1.957393609E-03 -1.381319101E-03 
       175 -1.398942433E-03  1.909509418E-03  1.874523444E-03 -1.398003815E-03 
       176 -1.472955104E-03  1.909568557E-03  1.874830866E-03 -1.474881274E-03 
       177 -1.514986274E-03  1.911828527E-03  1.958062631E-03 -1.476694717E-03 
       178 -1.568691572E-03  1.922408235E-03  1.951318214E-03 -1.572415930E-03 
